ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History16OwnerRequest	history16ownerrequest	1590488073464	 	3.3.1
REQUEST	15		bootstrap.min.js	1590488075647	1590488075683	OK	 
REQUEST	14		pets.png	1590488075502	1590488075683	OK	 
REQUEST	15		petclinic.css	1590488075425	1590488075685	OK	 
REQUEST	15		jquery-ui.min.css	1590488075426	1590488075689	OK	 
REQUEST	1		spring-pivotal-logo.png	1590488075441	1590488075692	OK	 
REQUEST	15		jquery-ui.theme.min.css	1590488075427	1590488075693	OK	 
REQUEST	3		favicon.png	1590488075653	1590488075693	OK	 
REQUEST	4		Home	1590488075650	1590488075701	OK	 
REQUEST	17		jquery-ui.theme.min.css	1590488075677	1590488075717	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590488075689	1590488075719	OK	 
REQUEST	3		jquery.min.js	1590488075697	1590488075727	OK	 
REQUEST	17		jquery-ui.min.css	1590488075677	1590488075730	OK	 
REQUEST	3		jquery-ui.min.css	1590488075657	1590488075745	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590488075712	1590488075744	OK	 
REQUEST	4		jquery-ui.min.css	1590488075711	1590488075747	OK	 
REQUEST	3		bootstrap.min.js	1590488075728	1590488075748	OK	 
REQUEST	3		jquery-ui.min.js	1590488075722	1590488075752	OK	 
REQUEST	17		jquery.min.js	1590488075718	1590488075757	OK	 
REQUEST	17		jquery-ui.min.js	1590488075732	1590488075761	OK	 
REQUEST	4		jquery.min.js	1590488075746	1590488075766	OK	 
REQUEST	4		jquery-ui.min.js	1590488075749	1590488075772	OK	 
REQUEST	4		bootstrap.min.js	1590488075767	1590488075774	OK	 
REQUEST	17		bootstrap.min.js	1590488075758	1590488075777	OK	 
REQUEST	3		pets.png	1590488075689	1590488075780	OK	 
REQUEST	15		pets.png	1590488075428	1590488075782	OK	 
REQUEST	15		spring-pivotal-logo.png	1590488075429	1590488075785	OK	 
REQUEST	4		spring-pivotal-logo.png	1590488075714	1590488075785	OK	 
REQUEST	4		favicon.png	1590488075710	1590488075789	OK	 
REQUEST	17		favicon.png	1590488075675	1590488075790	OK	 
REQUEST	16		Home	1590488075543	1590488075790	OK	 
REQUEST	4		pets.png	1590488075713	1590488075792	OK	 
REQUEST	17		pets.png	1590488075686	1590488075794	OK	 
REQUEST	17		petclinic.css	1590488075676	1590488075797	OK	 
REQUEST	1		jquery.min.js	1590488075548	1590488075810	OK	 
REQUEST	16		jquery-ui.min.css	1590488075800	1590488075815	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590488075801	1590488075818	OK	 
REQUEST	4		petclinic.css	1590488075710	1590488075825	OK	 
REQUEST	16		jquery-ui.min.js	1590488075820	1590488075831	OK	 
REQUEST	3		petclinic.css	1590488075655	1590488075834	OK	 
REQUEST	16		bootstrap.min.js	1590488075832	1590488075839	OK	 
USER	Error	18	START	1590488075840	1590488075840
USER	OK	5	START	1590488075840	1590488075840
REQUEST	18		Home	1590488075841	1590488075846	OK	 
REQUEST	17		spring-pivotal-logo.png	1590488075689	1590488075852	OK	 
REQUEST	3		spring-pivotal-logo.png	1590488075690	1590488075854	OK	 
REQUEST	16		jquery.min.js	1590488075816	1590488075856	OK	 
REQUEST	16		favicon.png	1590488075798	1590488075857	OK	 
REQUEST	16		pets.png	1590488075802	1590488075858	OK	 
REQUEST	16		spring-pivotal-logo.png	1590488075803	1590488075859	OK	 
REQUEST	5		Home	1590488075841	1590488075879	OK	 
REQUEST	18		jquery-ui.min.css	1590488075860	1590488075882	OK	 
REQUEST	18		jquery-ui.theme.min.css	1590488075861	1590488075885	OK	 
REQUEST	18		jquery.min.js	1590488075884	1590488075894	OK	 
REQUEST	18		jquery-ui.min.js	1590488075886	1590488075902	OK	 
REQUEST	5		jquery-ui.theme.min.css	1590488075888	1590488075904	OK	 
REQUEST	18		bootstrap.min.js	1590488075895	1590488075907	OK	 
REQUEST	5		jquery-ui.min.css	1590488075886	1590488075911	OK	 
REQUEST	5		jquery.min.js	1590488075906	1590488075913	OK	 
REQUEST	5		pets.png	1590488075889	1590488075915	OK	 
REQUEST	16		petclinic.css	1590488075799	1590488075918	OK	 
REQUEST	18		pets.png	1590488075861	1590488075934	OK	 
REQUEST	5		jquery-ui.min.js	1590488075913	1590488075935	OK	 
REQUEST	5		favicon.png	1590488075885	1590488075935	OK	 
REQUEST	18		favicon.png	1590488075858	1590488075936	OK	 
REQUEST	5		bootstrap.min.js	1590488075914	1590488075939	OK	 
REQUEST	18		petclinic.css	1590488075859	1590488075941	OK	 
REQUEST	18		spring-pivotal-logo.png	1590488075862	1590488075943	OK	 
REQUEST	5		spring-pivotal-logo.png	1590488075890	1590488075945	OK	 
REQUEST	5		petclinic.css	1590488075885	1590488075947	OK	 
USER	Error	19	START	1590488075975	1590488075975
REQUEST	19		Home	1590488075976	1590488075980	OK	 
REQUEST	19		favicon.png	1590488075983	1590488075991	OK	 
REQUEST	19		jquery.min.js	1590488075992	1590488075999	OK	 
REQUEST	19		jquery-ui.min.css	1590488075985	1590488076003	OK	 
REQUEST	19		jquery-ui.theme.min.css	1590488075986	1590488076007	OK	 
REQUEST	19		jquery-ui.min.js	1590488076000	1590488076012	OK	 
USER	OK	6	START	1590488076013	1590488076013
REQUEST	19		bootstrap.min.js	1590488076006	1590488076014	OK	 
REQUEST	19		petclinic.css	1590488075984	1590488076017	OK	 
REQUEST	6		Home	1590488076014	1590488076018	OK	 
REQUEST	19		spring-pivotal-logo.png	1590488075989	1590488076022	OK	 
REQUEST	19		pets.png	1590488075988	1590488076023	OK	 
REQUEST	6		favicon.png	1590488076025	1590488076031	OK	 
REQUEST	6		jquery-ui.min.css	1590488076027	1590488076038	OK	 
REQUEST	6		jquery.min.js	1590488076032	1590488076042	OK	 
REQUEST	6		bootstrap.min.js	1590488076043	1590488076049	OK	 
REQUEST	6		jquery-ui.theme.min.css	1590488076027	1590488076051	OK	 
REQUEST	6		jquery-ui.min.js	1590488076040	1590488076053	OK	 
REQUEST	6		pets.png	1590488076028	1590488076056	OK	 
REQUEST	6		spring-pivotal-logo.png	1590488076028	1590488076057	OK	 
REQUEST	6		petclinic.css	1590488076026	1590488076058	OK	 
USER	Error	20	START	1590488076147	1590488076147
REQUEST	20		Home	1590488076148	1590488076151	OK	 
REQUEST	20		jquery-ui.min.css	1590488076160	1590488076173	OK	 
REQUEST	20		jquery-ui.theme.min.css	1590488076161	1590488076179	OK	 
REQUEST	20		favicon.png	1590488076158	1590488076182	OK	 
REQUEST	20		jquery.min.js	1590488076175	1590488076189	OK	 
REQUEST	20		jquery-ui.min.js	1590488076181	1590488076192	OK	 
USER	OK	7	START	1590488076191	1590488076191
REQUEST	20		bootstrap.min.js	1590488076183	1590488076193	OK	 
REQUEST	20		spring-pivotal-logo.png	1590488076162	1590488076195	OK	 
REQUEST	7		Home	1590488076193	1590488076197	OK	 
REQUEST	20		pets.png	1590488076161	1590488076197	OK	 
REQUEST	20		petclinic.css	1590488076159	1590488076212	OK	 
REQUEST	7		jquery-ui.theme.min.css	1590488076209	1590488076225	OK	 
REQUEST	7		petclinic.css	1590488076206	1590488076228	OK	 
REQUEST	7		jquery-ui.min.css	1590488076208	1590488076231	OK	 
REQUEST	7		favicon.png	1590488076205	1590488076233	OK	 
REQUEST	7		pets.png	1590488076210	1590488076233	OK	 
REQUEST	7		jquery.min.js	1590488076227	1590488076241	OK	 
REQUEST	7		jquery-ui.min.js	1590488076230	1590488076245	OK	 
REQUEST	7		bootstrap.min.js	1590488076232	1590488076248	OK	 
REQUEST	7		spring-pivotal-logo.png	1590488076211	1590488076249	OK	 
USER	Error	21	START	1590488076315	1590488076315
REQUEST	21		Home	1590488076316	1590488076325	OK	 
USER	OK	8	START	1590488076335	1590488076335
REQUEST	8		Home	1590488076336	1590488076349	OK	 
REQUEST	21		jquery-ui.theme.min.css	1590488076339	1590488076356	OK	 
REQUEST	21		jquery-ui.min.css	1590488076338	1590488076358	OK	 
REQUEST	21		jquery.min.js	1590488076357	1590488076371	OK	 
REQUEST	8		jquery-ui.min.css	1590488076361	1590488076377	OK	 
REQUEST	8		jquery-ui.theme.min.css	1590488076361	1590488076379	OK	 
REQUEST	21		bootstrap.min.js	1590488076373	1590488076381	OK	 
REQUEST	8		jquery.min.js	1590488076378	1590488076388	OK	 
REQUEST	8		jquery-ui.min.js	1590488076380	1590488076391	OK	 
REQUEST	8		bootstrap.min.js	1590488076389	1590488076395	OK	 
REQUEST	21		jquery-ui.min.js	1590488076359	1590488076398	OK	 
REQUEST	8		pets.png	1590488076362	1590488076399	OK	 
REQUEST	21		favicon.png	1590488076334	1590488076402	OK	 
REQUEST	21		spring-pivotal-logo.png	1590488076342	1590488076405	OK	 
REQUEST	21		pets.png	1590488076341	1590488076407	OK	 
REQUEST	8		favicon.png	1590488076359	1590488076410	OK	 
REQUEST	21		petclinic.css	1590488076335	1590488076410	OK	 
REQUEST	8		spring-pivotal-logo.png	1590488076363	1590488076413	OK	 
REQUEST	8		petclinic.css	1590488076360	1590488076414	OK	 
USER	Error	22	START	1590488076475	1590488076475
REQUEST	22		Home	1590488076475	1590488076479	OK	 
REQUEST	22		favicon.png	1590488076482	1590488076489	OK	 
REQUEST	22		jquery-ui.min.css	1590488076483	1590488076497	OK	 
REQUEST	22		jquery.min.js	1590488076489	1590488076499	OK	 
REQUEST	22		jquery-ui.theme.min.css	1590488076484	1590488076500	OK	 
REQUEST	22		petclinic.css	1590488076483	1590488076507	OK	 
REQUEST	22		jquery-ui.min.js	1590488076498	1590488076510	OK	 
REQUEST	22		pets.png	1590488076485	1590488076512	OK	 
REQUEST	22		bootstrap.min.js	1590488076500	1590488076513	OK	 
REQUEST	22		spring-pivotal-logo.png	1590488076485	1590488076514	OK	 
USER	OK	9	START	1590488076513	1590488076513
REQUEST	9		Home	1590488076514	1590488076518	OK	 
REQUEST	9		favicon.png	1590488076523	1590488076528	OK	 
REQUEST	9		jquery.min.js	1590488076529	1590488076536	OK	 
REQUEST	9		jquery-ui.min.css	1590488076524	1590488076540	OK	 
REQUEST	9		jquery-ui.theme.min.css	1590488076525	1590488076545	OK	 
REQUEST	9		jquery-ui.min.js	1590488076538	1590488076547	OK	 
REQUEST	9		bootstrap.min.js	1590488076541	1590488076548	OK	 
REQUEST	9		spring-pivotal-logo.png	1590488076526	1590488076549	OK	 
REQUEST	9		pets.png	1590488076526	1590488076551	OK	 
REQUEST	9		petclinic.css	1590488076523	1590488076556	OK	 
USER	Error	23	START	1590488076654	1590488076654
REQUEST	23		Home	1590488076655	1590488076659	OK	 
REQUEST	23		favicon.png	1590488076662	1590488076667	OK	 
REQUEST	23		jquery-ui.min.css	1590488076664	1590488076678	OK	 
REQUEST	23		pets.png	1590488076665	1590488076680	OK	 
REQUEST	23		jquery.min.js	1590488076668	1590488076681	OK	 
REQUEST	23		jquery-ui.theme.min.css	1590488076664	1590488076682	OK	 
USER	OK	10	START	1590488076679	1590488076679
REQUEST	23		petclinic.css	1590488076663	1590488076686	OK	 
REQUEST	10		Home	1590488076680	1590488076689	OK	 
REQUEST	23		spring-pivotal-logo.png	1590488076665	1590488076691	OK	 
REQUEST	23		bootstrap.min.js	1590488076681	1590488076695	OK	 
REQUEST	23		jquery-ui.min.js	1590488076679	1590488076696	OK	 
REQUEST	10		jquery-ui.min.css	1590488076695	1590488076707	OK	 
REQUEST	10		jquery-ui.theme.min.css	1590488076696	1590488076709	OK	 
REQUEST	10		jquery.min.js	1590488076708	1590488076715	OK	 
REQUEST	10		favicon.png	1590488076694	1590488076718	OK	 
REQUEST	10		jquery-ui.min.js	1590488076710	1590488076721	OK	 
REQUEST	10		petclinic.css	1590488076695	1590488076722	OK	 
REQUEST	10		spring-pivotal-logo.png	1590488076698	1590488076725	OK	 
REQUEST	10		bootstrap.min.js	1590488076716	1590488076726	OK	 
REQUEST	10		pets.png	1590488076697	1590488076727	OK	 
USER	Error	24	START	1590488076810	1590488076810
REQUEST	24		Home	1590488076811	1590488076814	OK	 
REQUEST	24		favicon.png	1590488076817	1590488076824	OK	 
REQUEST	24		jquery-ui.min.css	1590488076818	1590488076831	OK	 
REQUEST	24		jquery.min.js	1590488076825	1590488076833	OK	 
REQUEST	24		spring-pivotal-logo.png	1590488076822	1590488076835	OK	 
REQUEST	24		jquery-ui.theme.min.css	1590488076819	1590488076838	OK	 
REQUEST	24		bootstrap.min.js	1590488076834	1590488076842	OK	 
REQUEST	24		petclinic.css	1590488076817	1590488076843	OK	 
REQUEST	24		pets.png	1590488076820	1590488076845	OK	 
REQUEST	24		jquery-ui.min.js	1590488076832	1590488076848	OK	 
USER	OK	11	START	1590488076845	1590488076845
REQUEST	11		Home	1590488076845	1590488076850	OK	 
REQUEST	11		favicon.png	1590488076855	1590488076860	OK	 
REQUEST	11		jquery-ui.min.css	1590488076857	1590488076867	OK	 
REQUEST	11		jquery-ui.theme.min.css	1590488076857	1590488076871	OK	 
REQUEST	11		petclinic.css	1590488076856	1590488076876	OK	 
REQUEST	11		jquery-ui.min.js	1590488076868	1590488076880	OK	 
REQUEST	11		bootstrap.min.js	1590488076873	1590488076881	OK	 
REQUEST	11		pets.png	1590488076858	1590488076882	OK	 
REQUEST	11		spring-pivotal-logo.png	1590488076858	1590488076883	OK	 
REQUEST	11		jquery.min.js	1590488076861	1590488076883	OK	 
USER	Error	25	START	1590488076982	1590488076982
REQUEST	25		Home	1590488076983	1590488076989	OK	 
USER	OK	12	START	1590488077017	1590488077017
REQUEST	12		Home	1590488077017	1590488077023	OK	 
REQUEST	12		jquery-ui.min.css	1590488077028	1590488077044	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590488077028	1590488077055	OK	 
REQUEST	25		jquery-ui.min.css	1590488077027	1590488077060	OK	 
REQUEST	12		jquery.min.js	1590488077046	1590488077062	OK	 
REQUEST	25		jquery-ui.theme.min.css	1590488077028	1590488077065	OK	 
REQUEST	12		jquery-ui.min.js	1590488077056	1590488077073	OK	 
REQUEST	12		bootstrap.min.js	1590488077063	1590488077076	OK	 
REQUEST	25		jquery.min.js	1590488077061	1590488077080	OK	 
REQUEST	25		bootstrap.min.js	1590488077081	1590488077088	OK	 
REQUEST	25		favicon.png	1590488077022	1590488077093	OK	 
REQUEST	12		petclinic.css	1590488077027	1590488077101	OK	 
REQUEST	25		jquery-ui.min.js	1590488077066	1590488077107	OK	 
REQUEST	12		spring-pivotal-logo.png	1590488077030	1590488077108	OK	 
REQUEST	12		pets.png	1590488077029	1590488077110	OK	 
REQUEST	12		favicon.png	1590488077027	1590488077111	OK	 
REQUEST	25		petclinic.css	1590488077023	1590488077114	OK	 
REQUEST	25		pets.png	1590488077028	1590488077117	OK	 
REQUEST	25		spring-pivotal-logo.png	1590488077029	1590488077119	OK	 
USER	Error	26	START	1590488077154	1590488077154
REQUEST	26		Home	1590488077154	1590488077157	OK	 
REQUEST	26		favicon.png	1590488077160	1590488077165	OK	 
REQUEST	26		jquery-ui.theme.min.css	1590488077162	1590488077175	OK	 
REQUEST	26		petclinic.css	1590488077160	1590488077177	OK	 
USER	OK	13	START	1590488077176	1590488077176
REQUEST	26		spring-pivotal-logo.png	1590488077163	1590488077182	OK	 
REQUEST	26		pets.png	1590488077162	1590488077182	OK	 
REQUEST	26		jquery-ui.min.css	1590488077161	1590488077185	OK	 
REQUEST	26		jquery.min.js	1590488077165	1590488077188	OK	 
REQUEST	26		jquery-ui.min.js	1590488077176	1590488077189	OK	 
REQUEST	26		bootstrap.min.js	1590488077178	1590488077190	OK	 
REQUEST	13		Home	1590488077177	1590488077191	OK	 
REQUEST	13		jquery-ui.min.css	1590488077195	1590488077209	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590488077196	1590488077211	OK	 
REQUEST	13		favicon.png	1590488077194	1590488077213	OK	 
REQUEST	13		jquery.min.js	1590488077210	1590488077217	OK	 
REQUEST	13		spring-pivotal-logo.png	1590488077198	1590488077218	OK	 
REQUEST	13		bootstrap.min.js	1590488077214	1590488077224	OK	 
REQUEST	13		petclinic.css	1590488077195	1590488077224	OK	 
REQUEST	13		jquery-ui.min.js	1590488077212	1590488077226	OK	 
REQUEST	13		pets.png	1590488077197	1590488077228	OK	 
USER	Error	33	START	1590488077310	1590488077310
USER	OK	27	START	1590488077310	1590488077310
REQUEST	33		Home	1590488077311	1590488077318	OK	 
REQUEST	27		Home	1590488077311	1590488077318	OK	 
REQUEST	33		jquery-ui.theme.min.css	1590488077328	1590488077354	OK	 
REQUEST	27		jquery-ui.min.css	1590488077338	1590488077355	OK	 
REQUEST	27		jquery-ui.theme.min.css	1590488077339	1590488077357	OK	 
REQUEST	33		jquery-ui.min.css	1590488077327	1590488077358	OK	 
REQUEST	27		jquery.min.js	1590488077355	1590488077366	OK	 
REQUEST	33		jquery.min.js	1590488077355	1590488077367	OK	 
REQUEST	33		jquery-ui.min.js	1590488077359	1590488077370	OK	 
REQUEST	27		jquery-ui.min.js	1590488077358	1590488077370	OK	 
REQUEST	27		petclinic.css	1590488077335	1590488077374	OK	 
REQUEST	33		petclinic.css	1590488077326	1590488077374	OK	 
REQUEST	27		bootstrap.min.js	1590488077367	1590488077376	OK	 
REQUEST	33		bootstrap.min.js	1590488077367	1590488077377	OK	 
REQUEST	33		spring-pivotal-logo.png	1590488077330	1590488077378	OK	 
REQUEST	27		favicon.png	1590488077325	1590488077379	OK	 
REQUEST	33		pets.png	1590488077329	1590488077380	OK	 
REQUEST	27		pets.png	1590488077340	1590488077383	OK	 
REQUEST	33		favicon.png	1590488077325	1590488077383	OK	 
REQUEST	27		spring-pivotal-logo.png	1590488077341	1590488077385	OK	 
USER	Error	34	START	1590488077482	1590488077482
USER	OK	28	START	1590488077482	1590488077482
REQUEST	34		Home	1590488077483	1590488077491	OK	 
REQUEST	28		Home	1590488077483	1590488077492	OK	 
REQUEST	34		jquery-ui.theme.min.css	1590488077517	1590488077539	OK	 
REQUEST	28		jquery-ui.min.css	1590488077502	1590488077539	OK	 
REQUEST	28		jquery-ui.theme.min.css	1590488077506	1590488077541	OK	 
REQUEST	34		jquery-ui.min.css	1590488077516	1590488077544	OK	 
REQUEST	34		jquery.min.js	1590488077540	1590488077547	OK	 
REQUEST	28		jquery.min.js	1590488077540	1590488077550	OK	 
REQUEST	28		spring-pivotal-logo.png	1590488077508	1590488077552	OK	 
REQUEST	34		spring-pivotal-logo.png	1590488077519	1590488077555	OK	 
REQUEST	34		bootstrap.min.js	1590488077548	1590488077558	OK	 
REQUEST	34		jquery-ui.min.js	1590488077545	1590488077559	OK	 
REQUEST	28		bootstrap.min.js	1590488077550	1590488077560	OK	 
REQUEST	34		favicon.png	1590488077515	1590488077561	OK	 
REQUEST	34		pets.png	1590488077518	1590488077562	OK	 
REQUEST	28		favicon.png	1590488077500	1590488077563	OK	 
REQUEST	28		petclinic.css	1590488077501	1590488077565	OK	 
REQUEST	28		pets.png	1590488077507	1590488077566	OK	 
REQUEST	28		jquery-ui.min.js	1590488077542	1590488077567	OK	 
REQUEST	34		petclinic.css	1590488077516	1590488077569	OK	 
USER	Error	35	START	1590488077639	1590488077639
REQUEST	35		Home	1590488077639	1590488077642	OK	 
REQUEST	35		favicon.png	1590488077645	1590488077651	OK	 
REQUEST	35		jquery-ui.min.css	1590488077647	1590488077659	OK	 
REQUEST	35		jquery.min.js	1590488077652	1590488077661	OK	 
USER	OK	29	START	1590488077659	1590488077659
REQUEST	35		jquery-ui.theme.min.css	1590488077647	1590488077664	OK	 
REQUEST	29		Home	1590488077662	1590488077668	OK	 
REQUEST	35		bootstrap.min.js	1590488077661	1590488077672	OK	 
REQUEST	35		jquery-ui.min.js	1590488077660	1590488077676	OK	 
REQUEST	29		jquery-ui.min.css	1590488077674	1590488077689	OK	 
REQUEST	29		jquery-ui.theme.min.css	1590488077675	1590488077690	OK	 
REQUEST	29		jquery.min.js	1590488077689	1590488077696	OK	 
REQUEST	35		spring-pivotal-logo.png	1590488077649	1590488077696	OK	 
REQUEST	29		jquery-ui.min.js	1590488077691	1590488077701	OK	 
REQUEST	29		spring-pivotal-logo.png	1590488077676	1590488077702	OK	 
REQUEST	29		bootstrap.min.js	1590488077696	1590488077705	OK	 
REQUEST	29		petclinic.css	1590488077673	1590488077707	OK	 
REQUEST	35		petclinic.css	1590488077646	1590488077709	OK	 
REQUEST	35		pets.png	1590488077648	1590488077711	OK	 
REQUEST	29		favicon.png	1590488077673	1590488077712	OK	 
REQUEST	29		pets.png	1590488077676	1590488077716	OK	 
USER	Error	36	START	1590488077810	1590488077810
USER	OK	30	START	1590488077810	1590488077810
REQUEST	30		Home	1590488077811	1590488077814	OK	 
REQUEST	36		Home	1590488077811	1590488077815	OK	 
REQUEST	36		jquery-ui.min.css	1590488077819	1590488077830	OK	 
REQUEST	36		jquery-ui.theme.min.css	1590488077819	1590488077836	OK	 
REQUEST	30		jquery-ui.min.css	1590488077818	1590488077840	OK	 
REQUEST	36		jquery.min.js	1590488077831	1590488077845	OK	 
REQUEST	30		jquery.min.js	1590488077841	1590488077849	OK	 
REQUEST	30		jquery-ui.theme.min.css	1590488077819	1590488077850	OK	 
REQUEST	36		bootstrap.min.js	1590488077846	1590488077853	OK	 
REQUEST	30		bootstrap.min.js	1590488077851	1590488077860	OK	 
REQUEST	36		jquery-ui.min.js	1590488077838	1590488077862	OK	 
REQUEST	30		spring-pivotal-logo.png	1590488077822	1590488077863	OK	 
REQUEST	36		favicon.png	1590488077818	1590488077863	OK	 
REQUEST	36		spring-pivotal-logo.png	1590488077822	1590488077864	OK	 
REQUEST	30		petclinic.css	1590488077818	1590488077865	OK	 
REQUEST	30		jquery-ui.min.js	1590488077850	1590488077866	OK	 
REQUEST	36		pets.png	1590488077820	1590488077866	OK	 
REQUEST	30		pets.png	1590488077820	1590488077867	OK	 
REQUEST	30		favicon.png	1590488077817	1590488077868	OK	 
REQUEST	36		petclinic.css	1590488077818	1590488077869	OK	 
USER	Error	37	START	1590488077982	1590488077982
USER	OK	31	START	1590488077982	1590488077982
REQUEST	31		Home	1590488077983	1590488077986	OK	 
REQUEST	37		Home	1590488077982	1590488077986	OK	 
REQUEST	31		jquery-ui.theme.min.css	1590488077994	1590488078011	OK	 
REQUEST	37		jquery-ui.theme.min.css	1590488077993	1590488078011	OK	 
REQUEST	37		favicon.png	1590488077991	1590488078014	OK	 
REQUEST	37		pets.png	1590488077994	1590488078015	OK	 
REQUEST	31		spring-pivotal-logo.png	1590488077995	1590488078016	OK	 
REQUEST	37		spring-pivotal-logo.png	1590488077994	1590488078017	OK	 
REQUEST	37		jquery.min.js	1590488078012	1590488078022	OK	 
REQUEST	31		jquery.min.js	1590488078012	1590488078025	OK	 
REQUEST	37		bootstrap.min.js	1590488078016	1590488078028	OK	 
REQUEST	31		jquery-ui.min.js	1590488078017	1590488078032	OK	 
REQUEST	31		bootstrap.min.js	1590488078025	1590488078033	OK	 
REQUEST	31		jquery-ui.min.css	1590488077993	1590488078035	OK	 
REQUEST	31		pets.png	1590488077994	1590488078036	OK	 
REQUEST	37		jquery-ui.min.css	1590488077993	1590488078037	OK	 
REQUEST	31		favicon.png	1590488077990	1590488078039	OK	 
REQUEST	37		petclinic.css	1590488077992	1590488078043	OK	 
REQUEST	31		petclinic.css	1590488077992	1590488078044	OK	 
REQUEST	37		jquery-ui.min.js	1590488078015	1590488078057	OK	 
USER	Error	38	START	1590488078138	1590488078138
REQUEST	38		Home	1590488078138	1590488078141	OK	 
REQUEST	38		favicon.png	1590488078144	1590488078149	OK	 
REQUEST	38		jquery.min.js	1590488078150	1590488078159	OK	 
REQUEST	38		jquery-ui.min.css	1590488078145	1590488078160	OK	 
REQUEST	38		jquery-ui.theme.min.css	1590488078146	1590488078162	OK	 
USER	OK	32	START	1590488078163	1590488078163
REQUEST	38		bootstrap.min.js	1590488078161	1590488078175	OK	 
REQUEST	38		jquery-ui.min.js	1590488078159	1590488078176	OK	 
REQUEST	32		Home	1590488078164	1590488078177	OK	 
REQUEST	38		petclinic.css	1590488078144	1590488078183	OK	 
REQUEST	38		spring-pivotal-logo.png	1590488078147	1590488078192	OK	 
REQUEST	38		pets.png	1590488078146	1590488078194	OK	 
REQUEST	32		favicon.png	1590488078181	1590488078205	OK	 
REQUEST	32		jquery-ui.theme.min.css	1590488078201	1590488078213	OK	 
REQUEST	32		jquery-ui.min.css	1590488078201	1590488078215	OK	 
REQUEST	32		jquery.min.js	1590488078206	1590488078217	OK	 
REQUEST	32		pets.png	1590488078202	1590488078218	OK	 
REQUEST	32		bootstrap.min.js	1590488078216	1590488078225	OK	 
REQUEST	32		petclinic.css	1590488078181	1590488078226	OK	 
REQUEST	32		jquery-ui.min.js	1590488078214	1590488078227	OK	 
REQUEST	32		spring-pivotal-logo.png	1590488078202	1590488078228	OK	 
USER	OK	39	START	1590488078315	1590488078315
USER	Error	45	START	1590488078315	1590488078315
