ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia18TestDiagnosis	historia18testdiagnosis	1590513708104	 	3.3.1
REQUEST	16		Home	1590513709427	1590513709430	OK	 
USER	VetWithoutDiagnosis	118	START	1590513709437	1590513709437
REQUEST	118		Home	1590513709438	1590513709440	OK	 
USER	VetWithDiagnosis	17	START	1590513709448	1590513709448
REQUEST	17		Home	1590513709449	1590513709451	OK	 
USER	VetWithoutDiagnosis	119	START	1590513709459	1590513709459
REQUEST	119		Home	1590513709460	1590513709462	OK	 
USER	VetWithDiagnosis	18	START	1590513709470	1590513709470
REQUEST	18		Home	1590513709471	1590513709473	OK	 
USER	VetWithoutDiagnosis	120	START	1590513709475	1590513709475
REQUEST	120		Home	1590513709476	1590513709478	OK	 
USER	VetWithDiagnosis	19	START	1590513709486	1590513709486
REQUEST	19		Home	1590513709487	1590513709489	OK	 
USER	VetWithoutDiagnosis	121	START	1590513709497	1590513709497
REQUEST	121		Home	1590513709498	1590513709500	OK	 
USER	VetWithDiagnosis	20	START	1590513709507	1590513709507
REQUEST	20		Home	1590513709508	1590513709510	OK	 
USER	VetWithoutDiagnosis	122	START	1590513709518	1590513709518
REQUEST	122		Home	1590513709519	1590513709521	OK	 
USER	VetWithDiagnosis	21	START	1590513709529	1590513709529
REQUEST	21		Home	1590513709530	1590513709532	OK	 
USER	VetWithoutDiagnosis	123	START	1590513709540	1590513709540
REQUEST	123		Home	1590513709541	1590513709544	OK	 
USER	VetWithDiagnosis	22	START	1590513709551	1590513709551
REQUEST	22		Home	1590513709552	1590513709554	OK	 
USER	VetWithoutDiagnosis	124	START	1590513709555	1590513709555
REQUEST	124		Home	1590513709556	1590513709559	OK	 
USER	VetWithDiagnosis	23	START	1590513709565	1590513709565
REQUEST	23		Home	1590513709566	1590513709569	OK	 
USER	VetWithoutDiagnosis	125	START	1590513709576	1590513709576
REQUEST	125		Home	1590513709577	1590513709580	OK	 
USER	VetWithDiagnosis	24	START	1590513709586	1590513709586
REQUEST	24		Home	1590513709587	1590513709589	OK	 
USER	VetWithoutDiagnosis	126	START	1590513709597	1590513709597
REQUEST	126		Home	1590513709598	1590513709600	OK	 
USER	VetWithDiagnosis	25	START	1590513709608	1590513709608
REQUEST	25		Home	1590513709608	1590513709611	OK	 
USER	VetWithoutDiagnosis	127	START	1590513709618	1590513709618
REQUEST	127		Home	1590513709619	1590513709621	OK	 
USER	VetWithDiagnosis	26	START	1590513709629	1590513709629
REQUEST	26		Home	1590513709630	1590513709632	OK	 
USER	VetWithoutDiagnosis	128	START	1590513709640	1590513709640
REQUEST	128		Home	1590513709641	1590513709643	OK	 
USER	VetWithDiagnosis	27	START	1590513709651	1590513709651
REQUEST	27		Home	1590513709652	1590513709654	OK	 
USER	VetWithoutDiagnosis	129	START	1590513709655	1590513709655
REQUEST	129		Home	1590513709656	1590513709658	OK	 
USER	VetWithoutDiagnosis	130	START	1590513709676	1590513709676
USER	VetWithDiagnosis	28	START	1590513709676	1590513709676
REQUEST	130		Home	1590513709676	1590513709679	OK	 
REQUEST	28		Home	1590513709676	1590513709679	OK	 
USER	VetWithoutDiagnosis	131	START	1590513709698	1590513709698
USER	VetWithDiagnosis	29	START	1590513709698	1590513709698
REQUEST	29		Home	1590513709699	1590513709701	OK	 
REQUEST	131		Home	1590513709699	1590513709701	OK	 
USER	VetWithDiagnosis	30	START	1590513709720	1590513709720
USER	VetWithoutDiagnosis	132	START	1590513709720	1590513709720
REQUEST	132		Home	1590513709721	1590513709724	OK	 
REQUEST	30		Home	1590513709721	1590513709724	OK	 
USER	VetWithDiagnosis	31	START	1590513709741	1590513709741
USER	VetWithoutDiagnosis	133	START	1590513709741	1590513709741
REQUEST	31		Home	1590513709742	1590513709747	OK	 
REQUEST	133		Home	1590513709742	1590513709747	OK	 
USER	VetWithoutDiagnosis	134	START	1590513709756	1590513709756
USER	VetWithDiagnosis	32	START	1590513709756	1590513709756
REQUEST	134		Home	1590513709757	1590513709762	OK	 
REQUEST	32		Home	1590513709757	1590513709763	OK	 
USER	VetWithoutDiagnosis	135	START	1590513709778	1590513709778
USER	VetWithDiagnosis	33	START	1590513709778	1590513709778
REQUEST	135		Home	1590513709779	1590513709784	OK	 
REQUEST	33		Home	1590513709779	1590513709784	OK	 
USER	VetWithDiagnosis	34	START	1590513709800	1590513709800
USER	VetWithoutDiagnosis	136	START	1590513709800	1590513709800
REQUEST	34		Home	1590513709800	1590513709803	OK	 
REQUEST	136		Home	1590513709800	1590513709803	OK	 
USER	VetWithoutDiagnosis	137	START	1590513709815	1590513709815
USER	VetWithDiagnosis	35	START	1590513709815	1590513709815
REQUEST	35		Home	1590513709816	1590513709818	OK	 
REQUEST	137		Home	1590513709816	1590513709818	OK	 
USER	VetWithDiagnosis	36	START	1590513709836	1590513709836
USER	VetWithoutDiagnosis	138	START	1590513709836	1590513709836
REQUEST	138		Home	1590513709837	1590513709839	OK	 
REQUEST	36		Home	1590513709837	1590513709839	OK	 
USER	VetWithoutDiagnosis	139	START	1590513709859	1590513709859
USER	VetWithDiagnosis	37	START	1590513709859	1590513709859
REQUEST	37		Home	1590513709860	1590513709867	OK	 
REQUEST	139		Home	1590513709860	1590513709867	OK	 
USER	VetWithoutDiagnosis	140	START	1590513709880	1590513709880
USER	VetWithDiagnosis	38	START	1590513709880	1590513709880
REQUEST	140		Home	1590513709882	1590513709888	OK	 
REQUEST	38		Home	1590513709882	1590513709888	OK	 
USER	VetWithDiagnosis	39	START	1590513709896	1590513709896
USER	VetWithoutDiagnosis	141	START	1590513709896	1590513709896
REQUEST	39		Home	1590513709898	1590513709904	OK	 
REQUEST	141		Home	1590513709898	1590513709904	OK	 
USER	VetWithoutDiagnosis	142	START	1590513709917	1590513709917
USER	VetWithDiagnosis	40	START	1590513709917	1590513709917
REQUEST	142		Home	1590513709919	1590513709925	OK	 
REQUEST	40		Home	1590513709919	1590513709925	OK	 
USER	VetWithoutDiagnosis	143	START	1590513709938	1590513709938
USER	VetWithDiagnosis	41	START	1590513709938	1590513709938
REQUEST	143		Home	1590513709940	1590513709947	OK	 
REQUEST	41		Home	1590513709940	1590513709947	OK	 
USER	VetWithDiagnosis	42	START	1590513709960	1590513709960
USER	VetWithoutDiagnosis	144	START	1590513709960	1590513709960
REQUEST	144		Home	1590513709962	1590513709968	OK	 
REQUEST	42		Home	1590513709962	1590513709968	OK	 
USER	VetWithoutDiagnosis	145	START	1590513709976	1590513709976
USER	VetWithDiagnosis	43	START	1590513709976	1590513709976
REQUEST	43		Home	1590513709977	1590513709985	OK	 
REQUEST	145		Home	1590513709977	1590513709985	OK	 
USER	VetWithDiagnosis	44	START	1590513709996	1590513709996
USER	VetWithoutDiagnosis	146	START	1590513709996	1590513709996
REQUEST	146		Home	1590513709997	1590513710000	OK	 
REQUEST	44		Home	1590513709997	1590513710000	OK	 
USER	VetWithoutDiagnosis	147	START	1590513710017	1590513710017
USER	VetWithDiagnosis	45	START	1590513710017	1590513710017
REQUEST	45		Home	1590513710018	1590513710020	OK	 
REQUEST	147		Home	1590513710018	1590513710020	OK	 
USER	VetWithoutDiagnosis	148	START	1590513710038	1590513710038
USER	VetWithDiagnosis	46	START	1590513710038	1590513710038
REQUEST	46		Home	1590513710039	1590513710042	OK	 
REQUEST	148		Home	1590513710039	1590513710042	OK	 
USER	VetWithDiagnosis	47	START	1590513710060	1590513710060
USER	VetWithoutDiagnosis	149	START	1590513710060	1590513710060
REQUEST	149		Home	1590513710060	1590513710063	OK	 
REQUEST	47		Home	1590513710060	1590513710063	OK	 
USER	VetWithoutDiagnosis	150	START	1590513710081	1590513710081
USER	VetWithDiagnosis	48	START	1590513710081	1590513710081
REQUEST	48		Home	1590513710081	1590513710083	OK	 
REQUEST	150		Home	1590513710081	1590513710083	OK	 
USER	VetWithDiagnosis	49	START	1590513710095	1590513710095
USER	VetWithoutDiagnosis	151	START	1590513710095	1590513710095
REQUEST	49		Home	1590513710096	1590513710098	OK	 
REQUEST	151		Home	1590513710096	1590513710098	OK	 
USER	VetWithoutDiagnosis	152	START	1590513710116	1590513710116
USER	VetWithDiagnosis	50	START	1590513710116	1590513710116
REQUEST	50		Home	1590513710118	1590513710125	OK	 
REQUEST	152		Home	1590513710118	1590513710125	OK	 
USER	VetWithDiagnosis	51	START	1590513710137	1590513710137
USER	VetWithoutDiagnosis	153	START	1590513710137	1590513710137
REQUEST	51		Home	1590513710139	1590513710145	OK	 
REQUEST	153		Home	1590513710139	1590513710145	OK	 
USER	VetWithDiagnosis	52	START	1590513710158	1590513710158
USER	VetWithoutDiagnosis	154	START	1590513710158	1590513710158
REQUEST	52		Home	1590513710160	1590513710166	OK	 
REQUEST	154		Home	1590513710160	1590513710166	OK	 
USER	VetWithoutDiagnosis	155	START	1590513710179	1590513710179
USER	VetWithDiagnosis	53	START	1590513710179	1590513710179
REQUEST	53		Home	1590513710180	1590513710186	OK	 
REQUEST	155		Home	1590513710180	1590513710186	OK	 
USER	VetWithoutDiagnosis	156	START	1590513710201	1590513710201
USER	VetWithDiagnosis	54	START	1590513710201	1590513710201
REQUEST	156		Home	1590513710202	1590513710206	OK	 
REQUEST	54		Home	1590513710202	1590513710206	OK	 
USER	VetWithoutDiagnosis	157	START	1590513710216	1590513710216
USER	VetWithDiagnosis	55	START	1590513710216	1590513710216
REQUEST	157		Home	1590513710216	1590513710219	OK	 
REQUEST	55		Home	1590513710216	1590513710219	OK	 
USER	VetWithoutDiagnosis	158	START	1590513710237	1590513710237
USER	VetWithDiagnosis	56	START	1590513710237	1590513710237
REQUEST	56		Home	1590513710238	1590513710245	OK	 
REQUEST	158		Home	1590513710238	1590513710245	OK	 
USER	VetWithDiagnosis	57	START	1590513710259	1590513710259
USER	VetWithoutDiagnosis	159	START	1590513710259	1590513710259
REQUEST	159		Home	1590513710260	1590513710263	OK	 
REQUEST	57		Home	1590513710260	1590513710263	OK	 
USER	VetWithoutDiagnosis	160	START	1590513710281	1590513710281
USER	VetWithDiagnosis	58	START	1590513710281	1590513710281
REQUEST	58		Home	1590513710281	1590513710285	OK	 
REQUEST	160		Home	1590513710281	1590513710285	OK	 
USER	VetWithDiagnosis	59	START	1590513710296	1590513710296
USER	VetWithoutDiagnosis	161	START	1590513710296	1590513710296
REQUEST	161		Home	1590513710297	1590513710300	OK	 
REQUEST	59		Home	1590513710297	1590513710300	OK	 
USER	VetWithDiagnosis	60	START	1590513710317	1590513710317
USER	VetWithoutDiagnosis	162	START	1590513710317	1590513710317
REQUEST	162		Home	1590513710318	1590513710321	OK	 
REQUEST	60		Home	1590513710318	1590513710321	OK	 
USER	VetWithoutDiagnosis	163	START	1590513710339	1590513710339
USER	VetWithDiagnosis	61	START	1590513710339	1590513710339
REQUEST	61		Home	1590513710340	1590513710343	OK	 
REQUEST	163		Home	1590513710340	1590513710343	OK	 
USER	VetWithDiagnosis	62	START	1590513710361	1590513710361
USER	VetWithoutDiagnosis	164	START	1590513710361	1590513710361
REQUEST	164		Home	1590513710361	1590513710364	OK	 
REQUEST	62		Home	1590513710361	1590513710364	OK	 
USER	VetWithoutDiagnosis	165	START	1590513710375	1590513710375
USER	VetWithDiagnosis	63	START	1590513710375	1590513710375
REQUEST	63		Home	1590513710376	1590513710380	OK	 
REQUEST	165		Home	1590513710376	1590513710380	OK	 
USER	VetWithDiagnosis	64	START	1590513710396	1590513710396
USER	VetWithoutDiagnosis	166	START	1590513710396	1590513710396
REQUEST	64		Home	1590513710397	1590513710399	OK	 
REQUEST	166		Home	1590513710397	1590513710399	OK	 
USER	VetWithoutDiagnosis	167	START	1590513710417	1590513710417
USER	VetWithDiagnosis	65	START	1590513710417	1590513710417
REQUEST	65		Home	1590513710417	1590513710420	OK	 
REQUEST	167		Home	1590513710417	1590513710420	OK	 
USER	VetWithoutDiagnosis	168	START	1590513710438	1590513710438
USER	VetWithDiagnosis	66	START	1590513710438	1590513710438
REQUEST	168		Home	1590513710439	1590513710447	OK	 
REQUEST	66		Home	1590513710440	1590513710447	OK	 
USER	VetWithDiagnosis	67	START	1590513710459	1590513710459
USER	VetWithoutDiagnosis	169	START	1590513710459	1590513710459
REQUEST	67		Home	1590513710461	1590513710464	OK	 
REQUEST	169		Home	1590513710461	1590513710464	OK	 
USER	VetWithoutDiagnosis	170	START	1590513710481	1590513710481
USER	VetWithDiagnosis	68	START	1590513710481	1590513710481
REQUEST	68		Home	1590513710482	1590513710484	OK	 
REQUEST	170		Home	1590513710482	1590513710484	OK	 
USER	VetWithDiagnosis	69	START	1590513710495	1590513710495
USER	VetWithoutDiagnosis	171	START	1590513710495	1590513710495
REQUEST	69		Home	1590513710496	1590513710498	OK	 
REQUEST	171		Home	1590513710496	1590513710498	OK	 
USER	VetWithDiagnosis	70	START	1590513710517	1590513710517
USER	VetWithoutDiagnosis	172	START	1590513710517	1590513710517
REQUEST	172		Home	1590513710518	1590513710520	OK	 
REQUEST	70		Home	1590513710518	1590513710520	OK	 
USER	VetWithDiagnosis	71	START	1590513710537	1590513710537
USER	VetWithoutDiagnosis	173	START	1590513710537	1590513710537
REQUEST	71		Home	1590513710538	1590513710540	OK	 
REQUEST	173		Home	1590513710538	1590513710540	OK	 
USER	VetWithoutDiagnosis	174	START	1590513710558	1590513710558
USER	VetWithDiagnosis	72	START	1590513710558	1590513710558
REQUEST	174		Home	1590513710559	1590513710562	OK	 
REQUEST	72		Home	1590513710559	1590513710562	OK	 
USER	VetWithoutDiagnosis	175	START	1590513710579	1590513710579
USER	VetWithDiagnosis	73	START	1590513710579	1590513710579
REQUEST	73		Home	1590513710579	1590513710581	OK	 
REQUEST	175		Home	1590513710579	1590513710581	OK	 
USER	VetWithDiagnosis	74	START	1590513710600	1590513710600
USER	VetWithoutDiagnosis	176	START	1590513710600	1590513710600
REQUEST	74		Home	1590513710601	1590513710603	OK	 
REQUEST	176		Home	1590513710601	1590513710603	OK	 
USER	VetWithDiagnosis	75	START	1590513710615	1590513710615
USER	VetWithoutDiagnosis	177	START	1590513710615	1590513710615
REQUEST	75		Home	1590513710616	1590513710618	OK	 
REQUEST	177		Home	1590513710616	1590513710618	OK	 
USER	VetWithDiagnosis	76	START	1590513710636	1590513710636
USER	VetWithoutDiagnosis	178	START	1590513710636	1590513710636
REQUEST	76		Home	1590513710636	1590513710638	OK	 
REQUEST	178		Home	1590513710636	1590513710638	OK	 
USER	VetWithoutDiagnosis	179	START	1590513710657	1590513710657
USER	VetWithDiagnosis	77	START	1590513710657	1590513710657
REQUEST	179		Home	1590513710659	1590513710665	OK	 
REQUEST	77		Home	1590513710659	1590513710665	OK	 
USER	VetWithoutDiagnosis	180	START	1590513710679	1590513710679
USER	VetWithDiagnosis	78	START	1590513710679	1590513710679
REQUEST	78		Home	1590513710680	1590513710684	OK	 
REQUEST	180		Home	1590513710680	1590513710684	OK	 
USER	VetWithoutDiagnosis	181	START	1590513710700	1590513710700
USER	VetWithDiagnosis	79	START	1590513710700	1590513710700
REQUEST	181		Home	1590513710700	1590513710702	OK	 
REQUEST	79		Home	1590513710700	1590513710702	OK	 
USER	VetWithDiagnosis	80	START	1590513710720	1590513710720
USER	VetWithoutDiagnosis	182	START	1590513710720	1590513710720
REQUEST	80		Home	1590513710721	1590513710723	OK	 
REQUEST	182		Home	1590513710721	1590513710723	OK	 
USER	VetWithoutDiagnosis	183	START	1590513710741	1590513710741
USER	VetWithDiagnosis	81	START	1590513710741	1590513710741
REQUEST	81		Home	1590513710741	1590513710744	OK	 
REQUEST	183		Home	1590513710741	1590513710744	OK	 
USER	VetWithoutDiagnosis	184	START	1590513710756	1590513710756
USER	VetWithDiagnosis	82	START	1590513710756	1590513710756
REQUEST	82		Home	1590513710756	1590513710758	OK	 
REQUEST	184		Home	1590513710756	1590513710758	OK	 
USER	VetWithoutDiagnosis	185	START	1590513710777	1590513710777
USER	VetWithDiagnosis	83	START	1590513710777	1590513710777
REQUEST	83		Home	1590513710778	1590513710780	OK	 
REQUEST	185		Home	1590513710778	1590513710780	OK	 
USER	VetWithDiagnosis	84	START	1590513710798	1590513710798
USER	VetWithoutDiagnosis	186	START	1590513710798	1590513710798
REQUEST	186		Home	1590513710799	1590513710801	OK	 
REQUEST	84		Home	1590513710799	1590513710801	OK	 
USER	VetWithDiagnosis	85	START	1590513710819	1590513710819
USER	VetWithoutDiagnosis	187	START	1590513710819	1590513710819
REQUEST	187		Home	1590513710819	1590513710821	OK	 
REQUEST	85		Home	1590513710819	1590513710821	OK	 
USER	VetWithoutDiagnosis	188	START	1590513710840	1590513710840
USER	VetWithDiagnosis	86	START	1590513710840	1590513710840
REQUEST	86		Home	1590513710841	1590513710843	OK	 
REQUEST	188		Home	1590513710841	1590513710843	OK	 
USER	VetWithoutDiagnosis	189	START	1590513710855	1590513710855
USER	VetWithDiagnosis	87	START	1590513710855	1590513710855
REQUEST	87		Home	1590513710856	1590513710858	OK	 
REQUEST	189		Home	1590513710856	1590513710858	OK	 
USER	VetWithoutDiagnosis	190	START	1590513710875	1590513710875
USER	VetWithDiagnosis	88	START	1590513710875	1590513710875
REQUEST	88		Home	1590513710876	1590513710880	OK	 
REQUEST	190		Home	1590513710876	1590513710880	OK	 
USER	VetWithoutDiagnosis	191	START	1590513710897	1590513710897
USER	VetWithDiagnosis	89	START	1590513710897	1590513710897
REQUEST	89		Home	1590513710897	1590513710899	OK	 
REQUEST	191		Home	1590513710897	1590513710899	OK	 
USER	VetWithDiagnosis	90	START	1590513710917	1590513710917
USER	VetWithoutDiagnosis	192	START	1590513710918	1590513710918
REQUEST	192		Home	1590513710918	1590513710920	OK	 
REQUEST	90		Home	1590513710918	1590513710920	OK	 
USER	VetWithDiagnosis	91	START	1590513710938	1590513710938
USER	VetWithoutDiagnosis	193	START	1590513710938	1590513710938
REQUEST	91		Home	1590513710939	1590513710941	OK	 
REQUEST	193		Home	1590513710939	1590513710941	OK	 
USER	VetWithoutDiagnosis	194	START	1590513710959	1590513710959
USER	VetWithDiagnosis	92	START	1590513710959	1590513710959
REQUEST	194		Home	1590513710960	1590513710963	OK	 
REQUEST	92		Home	1590513710960	1590513710963	OK	 
USER	VetWithoutDiagnosis	195	START	1590513710980	1590513710980
USER	VetWithDiagnosis	93	START	1590513710980	1590513710980
REQUEST	93		Home	1590513710980	1590513710982	OK	 
REQUEST	195		Home	1590513710980	1590513710982	OK	 
USER	VetWithDiagnosis	94	START	1590513711001	1590513711001
USER	VetWithoutDiagnosis	196	START	1590513711001	1590513711001
REQUEST	94		Home	1590513711002	1590513711003	OK	 
REQUEST	196		Home	1590513711002	1590513711003	OK	 
USER	VetWithoutDiagnosis	197	START	1590513711015	1590513711015
USER	VetWithDiagnosis	95	START	1590513711015	1590513711015
REQUEST	197		Home	1590513711016	1590513711018	OK	 
REQUEST	95		Home	1590513711016	1590513711018	OK	 
USER	VetWithoutDiagnosis	198	START	1590513711036	1590513711036
USER	VetWithDiagnosis	96	START	1590513711036	1590513711036
REQUEST	198		Home	1590513711036	1590513711038	OK	 
REQUEST	96		Home	1590513711036	1590513711038	OK	 
USER	VetWithoutDiagnosis	199	START	1590513711057	1590513711057
USER	VetWithDiagnosis	97	START	1590513711057	1590513711057
REQUEST	199		Home	1590513711072	1590513711074	OK	 
REQUEST	97		Home	1590513711072	1590513711074	OK	 
USER	VetWithDiagnosis	98	START	1590513711078	1590513711078
USER	VetWithoutDiagnosis	200	START	1590513711078	1590513711078
REQUEST	98		Home	1590513711078	1590513711080	OK	 
REQUEST	200		Home	1590513711078	1590513711080	OK	 
USER	VetWithoutDiagnosis	201	START	1590513711098	1590513711098
USER	VetWithDiagnosis	99	START	1590513711098	1590513711098
REQUEST	99		Home	1590513711099	1590513711101	OK	 
REQUEST	201		Home	1590513711099	1590513711101	OK	 
USER	VetWithDiagnosis	100	START	1590513711119	1590513711119
USER	VetWithoutDiagnosis	202	START	1590513711119	1590513711119
REQUEST	202		Home	1590513711132	1590513711135	OK	 
USER	VetWithDiagnosis	101	START	1590513711140	1590513711140
USER	VetWithoutDiagnosis	203	START	1590513711140	1590513711140
REQUEST	203		Home	1590513711141	1590513711143	OK	 
REQUEST	101		Home	1590513711141	1590513711143	OK	 
REQUEST	100		Home	1590513711119	1590513711143	OK	 
USER	VetWithDiagnosis	204	START	1590513711151	1590513711151
REQUEST	204		Home	1590513711151	1590513711154	OK	 
USER	VetWithDiagnosis	205	START	1590513711166	1590513711166
USER	VetWithoutDiagnosis	255	START	1590513711166	1590513711166
REQUEST	255		Home	1590513711166	1590513711168	OK	 
REQUEST	205		Home	1590513711166	1590513711168	OK	 
USER	VetWithoutDiagnosis	256	START	1590513711187	1590513711187
USER	VetWithDiagnosis	206	START	1590513711187	1590513711187
REQUEST	206		Home	1590513711187	1590513711189	OK	 
REQUEST	256		Home	1590513711187	1590513711189	OK	 
USER	VetWithDiagnosis	207	START	1590513711208	1590513711208
USER	VetWithoutDiagnosis	257	START	1590513711208	1590513711208
REQUEST	207		Home	1590513711209	1590513711211	OK	 
REQUEST	257		Home	1590513711209	1590513711211	OK	 
USER	VetWithoutDiagnosis	258	START	1590513711230	1590513711230
USER	VetWithDiagnosis	208	START	1590513711230	1590513711230
REQUEST	208		Home	1590513711231	1590513711233	OK	 
REQUEST	258		Home	1590513711231	1590513711233	OK	 
USER	VetWithoutDiagnosis	259	START	1590513711245	1590513711245
USER	VetWithDiagnosis	209	START	1590513711245	1590513711245
REQUEST	259		Home	1590513711246	1590513711248	OK	 
REQUEST	209		Home	1590513711246	1590513711248	OK	 
USER	VetWithoutDiagnosis	260	START	1590513711266	1590513711266
USER	VetWithDiagnosis	210	START	1590513711266	1590513711266
REQUEST	260		Home	1590513711266	1590513711268	OK	 
REQUEST	210		Home	1590513711266	1590513711268	OK	 
USER	VetWithDiagnosis	211	START	1590513711287	1590513711287
USER	VetWithoutDiagnosis	261	START	1590513711287	1590513711287
REQUEST	261		Home	1590513711287	1590513711289	OK	 
REQUEST	211		Home	1590513711287	1590513711289	OK	 
USER	VetWithoutDiagnosis	262	START	1590513711307	1590513711307
USER	VetWithDiagnosis	212	START	1590513711307	1590513711307
REQUEST	262		Home	1590513711308	1590513711310	OK	 
REQUEST	212		Home	1590513711308	1590513711310	OK	 
USER	VetWithoutDiagnosis	263	START	1590513711328	1590513711328
USER	VetWithDiagnosis	213	START	1590513711328	1590513711328
REQUEST	263		Home	1590513711329	1590513711331	OK	 
REQUEST	213		Home	1590513711329	1590513711331	OK	 
USER	VetWithoutDiagnosis	264	START	1590513711350	1590513711350
USER	VetWithDiagnosis	214	START	1590513711350	1590513711350
REQUEST	264		Home	1590513711351	1590513711353	OK	 
REQUEST	214		Home	1590513711351	1590513711353	OK	 
USER	VetWithDiagnosis	215	START	1590513711365	1590513711365
USER	VetWithoutDiagnosis	265	START	1590513711365	1590513711365
REQUEST	265		Home	1590513711366	1590513711368	OK	 
REQUEST	215		Home	1590513711366	1590513711368	OK	 
USER	VetWithoutDiagnosis	266	START	1590513711386	1590513711386
USER	VetWithDiagnosis	216	START	1590513711386	1590513711386
REQUEST	266		Home	1590513711387	1590513711389	OK	 
REQUEST	216		Home	1590513711387	1590513711389	OK	 
USER	VetWithDiagnosis	217	START	1590513711407	1590513711407
USER	VetWithoutDiagnosis	267	START	1590513711407	1590513711407
REQUEST	217		Home	1590513711408	1590513711410	OK	 
REQUEST	267		Home	1590513711408	1590513711410	OK	 
USER	VetWithoutDiagnosis	268	START	1590513711428	1590513711428
USER	VetWithDiagnosis	218	START	1590513711428	1590513711428
REQUEST	218		Home	1590513711429	1590513711431	OK	 
REQUEST	268		Home	1590513711429	1590513711431	OK	 
USER	VetWithDiagnosis	219	START	1590513711449	1590513711449
