ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History17OwnerPets	history17ownerpets	1590493698476	 	3.3.1
REQUEST	14		Home	1590493700481	1590493700536	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590493700338	1590493700538	OK	 
REQUEST	13		jquery-ui.min.js	1590493700451	1590493700541	OK	 
REQUEST	13		bootstrap.min.js	1590493700495	1590493700544	OK	 
REQUEST	13		jquery.min.js	1590493700449	1590493700546	OK	 
REQUEST	1		jquery-ui.min.js	1590493700451	1590493700552	OK	 
REQUEST	2		jquery.min.js	1590493700448	1590493700536	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590493700328	1590493700555	OK	 
REQUEST	2		pets.png	1590493700329	1590493700557	OK	 
REQUEST	2		spring-pivotal-logo.png	1590493700330	1590493700559	OK	 
REQUEST	1		jquery.min.js	1590493700448	1590493700563	OK	 
REQUEST	1		pets.png	1590493700339	1590493700565	OK	 
REQUEST	3		Home	1590493700485	1590493700566	OK	 
REQUEST	2		jquery-ui.min.js	1590493700490	1590493700566	OK	 
REQUEST	2		bootstrap.min.js	1590493700534	1590493700571	OK	 
REQUEST	14		jquery-ui.min.css	1590493700545	1590493700575	OK	 
REQUEST	1		spring-pivotal-logo.png	1590493700340	1590493700573	OK	 
REQUEST	1		bootstrap.min.js	1590493700537	1590493700581	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590493700546	1590493700589	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590493700577	1590493700590	OK	 
REQUEST	14		favicon.png	1590493700544	1590493700592	OK	 
REQUEST	3		jquery-ui.min.css	1590493700575	1590493700592	OK	 
REQUEST	14		jquery-ui.min.js	1590493700591	1590493700603	OK	 
REQUEST	14		bootstrap.min.js	1590493700593	1590493700605	OK	 
REQUEST	3		jquery-ui.min.js	1590493700595	1590493700606	OK	 
REQUEST	3		bootstrap.min.js	1590493700607	1590493700614	OK	 
REQUEST	3		jquery.min.js	1590493700591	1590493700615	OK	 
REQUEST	14		jquery.min.js	1590493700578	1590493700618	OK	 
REQUEST	14		petclinic.css	1590493700545	1590493700619	OK	 
REQUEST	14		pets.png	1590493700547	1590493700623	OK	 
REQUEST	3		petclinic.css	1590493700574	1590493700623	OK	 
REQUEST	14		spring-pivotal-logo.png	1590493700548	1590493700624	OK	 
REQUEST	3		favicon.png	1590493700573	1590493700626	OK	 
REQUEST	3		spring-pivotal-logo.png	1590493700579	1590493700629	OK	 
REQUEST	3		pets.png	1590493700578	1590493700631	OK	 
USER	EditPet	15	START	1590493700654	1590493700654
REQUEST	15		Home	1590493700654	1590493700662	OK	 
REQUEST	15		favicon.png	1590493700667	1590493700674	OK	 
REQUEST	15		jquery.min.js	1590493700674	1590493700686	OK	 
USER	AddPet	4	START	1590493700688	1590493700688
REQUEST	15		jquery-ui.theme.min.css	1590493700669	1590493700691	OK	 
REQUEST	15		jquery-ui.min.css	1590493700669	1590493700696	OK	 
REQUEST	4		Home	1590493700689	1590493700697	OK	 
REQUEST	15		jquery-ui.min.js	1590493700687	1590493700704	OK	 
REQUEST	15		petclinic.css	1590493700668	1590493700716	OK	 
REQUEST	4		jquery-ui.min.css	1590493700705	1590493700723	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590493700706	1590493700728	OK	 
REQUEST	4		jquery.min.js	1590493700725	1590493700735	OK	 
REQUEST	4		jquery-ui.min.js	1590493700729	1590493700738	OK	 
REQUEST	15		bootstrap.min.js	1590493700692	1590493700739	OK	 
REQUEST	4		petclinic.css	1590493700704	1590493700742	OK	 
REQUEST	15		spring-pivotal-logo.png	1590493700671	1590493700747	OK	 
REQUEST	4		bootstrap.min.js	1590493700736	1590493700747	OK	 
REQUEST	4		pets.png	1590493700707	1590493700748	OK	 
REQUEST	4		favicon.png	1590493700703	1590493700750	OK	 
REQUEST	4		spring-pivotal-logo.png	1590493700708	1590493700751	OK	 
REQUEST	15		pets.png	1590493700670	1590493700753	OK	 
USER	EditPet	16	START	1590493700865	1590493700865
REQUEST	16		Home	1590493700867	1590493700875	OK	 
USER	AddPet	5	START	1590493700881	1590493700881
REQUEST	5		Home	1590493700883	1590493700914	OK	 
REQUEST	16		jquery-ui.min.css	1590493700900	1590493700931	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590493700902	1590493700936	OK	 
REQUEST	5		jquery-ui.min.css	1590493700923	1590493700950	OK	 
REQUEST	5		jquery-ui.theme.min.css	1590493700924	1590493700953	OK	 
REQUEST	16		jquery.min.js	1590493700934	1590493700960	OK	 
REQUEST	16		jquery-ui.min.js	1590493700937	1590493700965	OK	 
REQUEST	16		bootstrap.min.js	1590493700961	1590493700969	OK	 
REQUEST	5		jquery.min.js	1590493700952	1590493700972	OK	 
REQUEST	5		jquery-ui.min.js	1590493700955	1590493700973	OK	 
REQUEST	5		bootstrap.min.js	1590493700972	1590493700981	OK	 
REQUEST	16		favicon.png	1590493700897	1590493700984	OK	 
REQUEST	16		pets.png	1590493700904	1590493700986	OK	 
REQUEST	16		petclinic.css	1590493700898	1590493700988	OK	 
REQUEST	5		favicon.png	1590493700921	1590493700990	OK	 
REQUEST	16		spring-pivotal-logo.png	1590493700906	1590493700991	OK	 
REQUEST	5		pets.png	1590493700925	1590493700993	OK	 
REQUEST	5		spring-pivotal-logo.png	1590493700926	1590493700997	OK	 
REQUEST	5		petclinic.css	1590493700922	1590493700999	OK	 
USER	EditPet	17	START	1590493701066	1590493701066
REQUEST	17		Home	1590493701066	1590493701070	OK	 
USER	AddPet	6	START	1590493701082	1590493701082
REQUEST	6		Home	1590493701083	1590493701088	OK	 
REQUEST	17		jquery-ui.theme.min.css	1590493701079	1590493701092	OK	 
REQUEST	17		favicon.png	1590493701075	1590493701095	OK	 
REQUEST	17		jquery-ui.min.css	1590493701077	1590493701097	OK	 
REQUEST	17		jquery.min.js	1590493701095	1590493701112	OK	 
REQUEST	17		jquery-ui.min.js	1590493701096	1590493701119	OK	 
REQUEST	6		jquery-ui.theme.min.css	1590493701101	1590493701124	OK	 
REQUEST	6		jquery-ui.min.css	1590493701100	1590493701129	OK	 
REQUEST	17		bootstrap.min.js	1590493701098	1590493701131	OK	 
REQUEST	6		jquery.min.js	1590493701126	1590493701136	OK	 
REQUEST	6		bootstrap.min.js	1590493701137	1590493701144	OK	 
REQUEST	6		jquery-ui.min.js	1590493701130	1590493701145	OK	 
REQUEST	6		petclinic.css	1590493701099	1590493701148	OK	 
REQUEST	6		pets.png	1590493701102	1590493701151	OK	 
REQUEST	17		petclinic.css	1590493701075	1590493701151	OK	 
REQUEST	17		pets.png	1590493701080	1590493701153	OK	 
REQUEST	6		favicon.png	1590493701098	1590493701153	OK	 
REQUEST	17		spring-pivotal-logo.png	1590493701081	1590493701155	OK	 
REQUEST	6		spring-pivotal-logo.png	1590493701103	1590493701156	OK	 
USER	EditPet	18	START	1590493701255	1590493701255
REQUEST	18		Home	1590493701256	1590493701266	OK	 
USER	AddPet	7	START	1590493701283	1590493701283
REQUEST	7		Home	1590493701286	1590493701299	OK	 
REQUEST	18		jquery-ui.min.css	1590493701288	1590493701323	OK	 
REQUEST	18		jquery-ui.theme.min.css	1590493701290	1590493701326	OK	 
REQUEST	7		jquery-ui.min.css	1590493701308	1590493701332	OK	 
REQUEST	7		jquery-ui.theme.min.css	1590493701309	1590493701334	OK	 
REQUEST	18		jquery.min.js	1590493701325	1590493701341	OK	 
REQUEST	7		jquery.min.js	1590493701334	1590493701345	OK	 
REQUEST	18		jquery-ui.min.js	1590493701328	1590493701350	OK	 
REQUEST	18		bootstrap.min.js	1590493701342	1590493701356	OK	 
REQUEST	7		jquery-ui.min.js	1590493701336	1590493701358	OK	 
REQUEST	7		bootstrap.min.js	1590493701346	1590493701363	OK	 
REQUEST	18		favicon.png	1590493701284	1590493701366	OK	 
REQUEST	18		pets.png	1590493701292	1590493701371	OK	 
REQUEST	7		favicon.png	1590493701306	1590493701373	OK	 
REQUEST	7		spring-pivotal-logo.png	1590493701313	1590493701374	OK	 
REQUEST	7		pets.png	1590493701311	1590493701376	OK	 
REQUEST	7		petclinic.css	1590493701306	1590493701379	OK	 
REQUEST	18		petclinic.css	1590493701286	1590493701383	OK	 
REQUEST	18		spring-pivotal-logo.png	1590493701295	1590493701387	OK	 
USER	EditPet	19	START	1590493701456	1590493701456
REQUEST	19		Home	1590493701457	1590493701463	OK	 
REQUEST	19		favicon.png	1590493701468	1590493701474	OK	 
REQUEST	19		jquery.min.js	1590493701475	1590493701483	OK	 
REQUEST	19		jquery-ui.min.css	1590493701470	1590493701485	OK	 
REQUEST	19		jquery-ui.theme.min.css	1590493701470	1590493701489	OK	 
USER	AddPet	8	START	1590493701490	1590493701490
REQUEST	19		petclinic.css	1590493701469	1590493701494	OK	 
REQUEST	8		Home	1590493701490	1590493701499	OK	 
REQUEST	19		jquery-ui.min.js	1590493701484	1590493701502	OK	 
REQUEST	19		pets.png	1590493701471	1590493701503	OK	 
REQUEST	19		spring-pivotal-logo.png	1590493701472	1590493701505	OK	 
REQUEST	8		jquery-ui.theme.min.css	1590493701508	1590493701521	OK	 
REQUEST	8		petclinic.css	1590493701506	1590493701530	OK	 
REQUEST	8		jquery.min.js	1590493701522	1590493701533	OK	 
REQUEST	19		bootstrap.min.js	1590493701486	1590493701537	OK	 
REQUEST	8		bootstrap.min.js	1590493701534	1590493701540	OK	 
REQUEST	8		jquery-ui.min.js	1590493701532	1590493701545	OK	 
REQUEST	8		spring-pivotal-logo.png	1590493701511	1590493701546	OK	 
REQUEST	8		jquery-ui.min.css	1590493701507	1590493701547	OK	 
REQUEST	8		pets.png	1590493701509	1590493701549	OK	 
REQUEST	8		favicon.png	1590493701506	1590493701550	OK	 
USER	EditPet	20	START	1590493701669	1590493701669
USER	AddPet	9	START	1590493701674	1590493701674
REQUEST	20		Home	1590493701670	1590493701686	OK	 
REQUEST	9		Home	1590493701678	1590493701688	OK	 
REQUEST	20		jquery-ui.min.css	1590493701702	1590493701720	OK	 
REQUEST	9		petclinic.css	1590493701702	1590493701723	OK	 
REQUEST	20		petclinic.css	1590493701701	1590493701724	OK	 
REQUEST	9		pets.png	1590493701704	1590493701727	OK	 
REQUEST	9		jquery.min.js	1590493701726	1590493701734	OK	 
REQUEST	20		jquery.min.js	1590493701721	1590493701735	OK	 
REQUEST	20		jquery-ui.min.js	1590493701727	1590493701738	OK	 
REQUEST	9		jquery-ui.min.js	1590493701728	1590493701739	OK	 
REQUEST	20		jquery-ui.theme.min.css	1590493701703	1590493701741	OK	 
REQUEST	20		bootstrap.min.js	1590493701736	1590493701745	OK	 
REQUEST	9		bootstrap.min.js	1590493701735	1590493701745	OK	 
REQUEST	9		jquery-ui.theme.min.css	1590493701703	1590493701746	OK	 
REQUEST	9		favicon.png	1590493701701	1590493701748	OK	 
REQUEST	9		jquery-ui.min.css	1590493701703	1590493701749	OK	 
REQUEST	20		spring-pivotal-logo.png	1590493701704	1590493701752	OK	 
REQUEST	20		pets.png	1590493701703	1590493701753	OK	 
REQUEST	20		favicon.png	1590493701700	1590493701754	OK	 
REQUEST	9		spring-pivotal-logo.png	1590493701705	1590493701755	OK	 
USER	EditPet	21	START	1590493701868	1590493701868
REQUEST	21		Home	1590493701870	1590493701877	OK	 
USER	AddPet	10	START	1590493701884	1590493701884
REQUEST	10		Home	1590493701885	1590493701900	OK	 
REQUEST	21		jquery-ui.min.css	1590493701891	1590493701920	OK	 
REQUEST	10		jquery-ui.theme.min.css	1590493701912	1590493701935	OK	 
REQUEST	21		jquery.min.js	1590493701922	1590493701937	OK	 
REQUEST	10		jquery-ui.min.css	1590493701911	1590493701941	OK	 
REQUEST	21		jquery-ui.theme.min.css	1590493701893	1590493701945	OK	 
REQUEST	10		jquery.min.js	1590493701936	1590493701952	OK	 
REQUEST	21		jquery-ui.min.js	1590493701937	1590493701963	OK	 
REQUEST	21		bootstrap.min.js	1590493701946	1590493701966	OK	 
REQUEST	10		bootstrap.min.js	1590493701953	1590493701969	OK	 
REQUEST	10		jquery-ui.min.js	1590493701942	1590493701971	OK	 
REQUEST	21		spring-pivotal-logo.png	1590493701899	1590493701975	OK	 
REQUEST	21		favicon.png	1590493701888	1590493701979	OK	 
REQUEST	21		petclinic.css	1590493701889	1590493701980	OK	 
REQUEST	10		favicon.png	1590493701908	1590493702000	OK	 
REQUEST	10		spring-pivotal-logo.png	1590493701914	1590493702001	OK	 
REQUEST	21		pets.png	1590493701897	1590493702002	OK	 
REQUEST	10		pets.png	1590493701913	1590493702006	OK	 
REQUEST	10		petclinic.css	1590493701909	1590493702011	OK	 
USER	EditPet	22	START	1590493702068	1590493702068
REQUEST	22		Home	1590493702069	1590493702072	OK	 
REQUEST	22		jquery-ui.min.css	1590493702077	1590493702087	OK	 
REQUEST	22		favicon.png	1590493702075	1590493702089	OK	 
REQUEST	22		jquery-ui.theme.min.css	1590493702078	1590493702090	OK	 
USER	AddPet	11	START	1590493702089	1590493702089
REQUEST	22		jquery.min.js	1590493702088	1590493702097	OK	 
REQUEST	11		Home	1590493702090	1590493702097	OK	 
REQUEST	22		petclinic.css	1590493702075	1590493702102	OK	 
REQUEST	22		bootstrap.min.js	1590493702091	1590493702103	OK	 
REQUEST	22		pets.png	1590493702079	1590493702104	OK	 
REQUEST	22		spring-pivotal-logo.png	1590493702079	1590493702105	OK	 
REQUEST	22		jquery-ui.min.js	1590493702089	1590493702107	OK	 
REQUEST	11		favicon.png	1590493702106	1590493702113	OK	 
REQUEST	11		jquery-ui.min.css	1590493702107	1590493702119	OK	 
REQUEST	11		jquery.min.js	1590493702114	1590493702122	OK	 
REQUEST	11		jquery-ui.theme.min.css	1590493702108	1590493702124	OK	 
REQUEST	11		bootstrap.min.js	1590493702123	1590493702132	OK	 
REQUEST	11		petclinic.css	1590493702106	1590493702133	OK	 
REQUEST	11		pets.png	1590493702110	1590493702136	OK	 
REQUEST	11		jquery-ui.min.js	1590493702120	1590493702137	OK	 
REQUEST	11		spring-pivotal-logo.png	1590493702112	1590493702138	OK	 
USER	AddPet	23	START	1590493702314	1590493702314
USER	EditPet	27	START	1590493702314	1590493702314
REQUEST	27		Home	1590493702315	1590493702323	OK	 
REQUEST	23		Home	1590493702315	1590493702323	OK	 
REQUEST	27		jquery-ui.min.css	1590493702349	1590493702429	OK	 
REQUEST	23		jquery-ui.min.css	1590493702339	1590493702435	OK	 
REQUEST	27		jquery-ui.theme.min.css	1590493702350	1590493702437	OK	 
REQUEST	23		jquery-ui.theme.min.css	1590493702340	1590493702438	OK	 
REQUEST	27		jquery.min.js	1590493702430	1590493702444	OK	 
REQUEST	23		jquery.min.js	1590493702436	1590493702446	OK	 
REQUEST	27		spring-pivotal-logo.png	1590493702352	1590493702449	OK	 
REQUEST	27		bootstrap.min.js	1590493702445	1590493702450	OK	 
REQUEST	27		pets.png	1590493702351	1590493702454	OK	 
REQUEST	23		bootstrap.min.js	1590493702447	1590493702455	OK	 
REQUEST	23		pets.png	1590493702347	1590493702456	OK	 
REQUEST	23		favicon.png	1590493702336	1590493702458	OK	 
REQUEST	27		favicon.png	1590493702348	1590493702458	OK	 
REQUEST	23		spring-pivotal-logo.png	1590493702352	1590493702463	OK	 
REQUEST	23		jquery-ui.min.js	1590493702439	1590493702466	OK	 
REQUEST	23		petclinic.css	1590493702337	1590493702469	OK	 
REQUEST	27		jquery-ui.min.js	1590493702438	1590493702470	OK	 
REQUEST	27		petclinic.css	1590493702348	1590493702472	OK	 
USER	EditPet	28	START	1590493702571	1590493702571
USER	AddPet	24	START	1590493702571	1590493702571
REQUEST	28		Home	1590493702572	1590493702575	OK	 
REQUEST	24		Home	1590493702572	1590493702575	OK	 
REQUEST	28		jquery-ui.min.css	1590493702581	1590493702596	OK	 
REQUEST	24		spring-pivotal-logo.png	1590493702583	1590493702598	OK	 
REQUEST	28		jquery.min.js	1590493702598	1590493702605	OK	 
REQUEST	24		jquery.min.js	1590493702598	1590493702605	OK	 
REQUEST	24		jquery-ui.min.css	1590493702581	1590493702611	OK	 
REQUEST	28		jquery-ui.min.js	1590493702605	1590493702621	OK	 
REQUEST	24		bootstrap.min.js	1590493702612	1590493702622	OK	 
REQUEST	24		jquery-ui.min.js	1590493702606	1590493702627	OK	 
REQUEST	28		bootstrap.min.js	1590493702621	1590493702631	OK	 
REQUEST	28		jquery-ui.theme.min.css	1590493702582	1590493702634	OK	 
REQUEST	24		jquery-ui.theme.min.css	1590493702582	1590493702636	OK	 
REQUEST	24		favicon.png	1590493702580	1590493702639	OK	 
REQUEST	28		petclinic.css	1590493702581	1590493702640	OK	 
REQUEST	28		spring-pivotal-logo.png	1590493702583	1590493702646	OK	 
REQUEST	28		pets.png	1590493702583	1590493702647	OK	 
REQUEST	28		favicon.png	1590493702580	1590493702651	OK	 
REQUEST	24		petclinic.css	1590493702581	1590493702652	OK	 
REQUEST	24		pets.png	1590493702583	1590493702655	OK	 
USER	AddPet	25	START	1590493702818	1590493702818
USER	EditPet	29	START	1590493702818	1590493702818
REQUEST	25		Home	1590493702820	1590493702830	OK	 
REQUEST	29		Home	1590493702820	1590493702830	OK	 
REQUEST	25		jquery-ui.theme.min.css	1590493702847	1590493702870	OK	 
REQUEST	25		favicon.png	1590493702841	1590493702879	OK	 
REQUEST	25		jquery-ui.min.css	1590493702845	1590493702881	OK	 
REQUEST	25		jquery.min.js	1590493702871	1590493702883	OK	 
REQUEST	25		bootstrap.min.js	1590493702882	1590493702890	OK	 
REQUEST	25		jquery-ui.min.js	1590493702880	1590493702894	OK	 
REQUEST	29		jquery-ui.theme.min.css	1590493702848	1590493702894	OK	 
REQUEST	29		spring-pivotal-logo.png	1590493702852	1590493702896	OK	 
REQUEST	29		jquery.min.js	1590493702895	1590493702901	OK	 
REQUEST	29		pets.png	1590493702850	1590493702904	OK	 
REQUEST	29		jquery-ui.min.js	1590493702897	1590493702906	OK	 
REQUEST	29		bootstrap.min.js	1590493702902	1590493702907	OK	 
REQUEST	29		jquery-ui.min.css	1590493702846	1590493702908	OK	 
REQUEST	25		spring-pivotal-logo.png	1590493702850	1590493702911	OK	 
REQUEST	29		favicon.png	1590493702841	1590493702911	OK	 
REQUEST	25		pets.png	1590493702848	1590493702912	OK	 
REQUEST	25		petclinic.css	1590493702842	1590493702916	OK	 
REQUEST	29		petclinic.css	1590493702845	1590493702916	OK	 
USER	EditPet	30	START	1590493703072	1590493703072
USER	AddPet	26	START	1590493703072	1590493703072
REQUEST	26		Home	1590493703074	1590493703086	OK	 
REQUEST	30		Home	1590493703074	1590493703086	OK	 
REQUEST	26		jquery-ui.min.css	1590493703102	1590493703123	OK	 
REQUEST	30		jquery-ui.min.css	1590493703104	1590493703129	OK	 
REQUEST	26		jquery-ui.theme.min.css	1590493703104	1590493703135	OK	 
REQUEST	30		jquery-ui.theme.min.css	1590493703105	1590493703136	OK	 
REQUEST	26		jquery.min.js	1590493703124	1590493703139	OK	 
REQUEST	30		jquery.min.js	1590493703131	1590493703141	OK	 
REQUEST	30		jquery-ui.min.js	1590493703137	1590493703147	OK	 
REQUEST	30		bootstrap.min.js	1590493703142	1590493703149	OK	 
REQUEST	26		bootstrap.min.js	1590493703140	1590493703149	OK	 
REQUEST	26		jquery-ui.min.js	1590493703136	1590493703152	OK	 
REQUEST	26		favicon.png	1590493703099	1590493703155	OK	 
REQUEST	26		pets.png	1590493703105	1590493703157	OK	 
REQUEST	30		pets.png	1590493703105	1590493703158	OK	 
REQUEST	26		petclinic.css	1590493703100	1590493703162	OK	 
REQUEST	30		spring-pivotal-logo.png	1590493703106	1590493703163	OK	 
REQUEST	26		spring-pivotal-logo.png	1590493703105	1590493703164	OK	 
REQUEST	30		favicon.png	1590493703101	1590493703166	OK	 
REQUEST	30		petclinic.css	1590493703102	1590493703168	OK	 
USER	AddPet	31	START	1590493703254	1590493703254
USER	EditPet	36	START	1590493703254	1590493703254
REQUEST	36		Home	1590493703254	1590493703258	OK	 
REQUEST	31		Home	1590493703254	1590493703258	OK	 
REQUEST	31		jquery-ui.theme.min.css	1590493703263	1590493703281	OK	 
REQUEST	36		jquery-ui.min.css	1590493703263	1590493703281	OK	 
REQUEST	31		jquery-ui.min.css	1590493703263	1590493703283	OK	 
REQUEST	36		jquery-ui.theme.min.css	1590493703263	1590493703288	OK	 
REQUEST	31		jquery-ui.min.js	1590493703284	1590493703300	OK	 
REQUEST	36		jquery-ui.min.js	1590493703288	1590493703304	OK	 
REQUEST	31		jquery.min.js	1590493703281	1590493703308	OK	 
REQUEST	31		bootstrap.min.js	1590493703300	1590493703313	OK	 
REQUEST	36		jquery.min.js	1590493703281	1590493703313	OK	 
REQUEST	36		bootstrap.min.js	1590493703304	1590493703316	OK	 
REQUEST	36		favicon.png	1590493703262	1590493703318	OK	 
REQUEST	36		pets.png	1590493703264	1590493703319	OK	 
REQUEST	31		pets.png	1590493703264	1590493703320	OK	 
REQUEST	31		favicon.png	1590493703262	1590493703321	OK	 
REQUEST	31		spring-pivotal-logo.png	1590493703265	1590493703322	OK	 
REQUEST	31		petclinic.css	1590493703262	1590493703323	OK	 
REQUEST	36		spring-pivotal-logo.png	1590493703265	1590493703327	OK	 
REQUEST	36		petclinic.css	1590493703262	1590493703329	OK	 
USER	EditPet	37	START	1590493703454	1590493703454
USER	AddPet	32	START	1590493703454	1590493703454
REQUEST	37		Home	1590493703455	1590493703464	OK	 
REQUEST	32		Home	1590493703455	1590493703464	OK	 
REQUEST	37		jquery-ui.min.css	1590493703477	1590493703500	OK	 
REQUEST	37		jquery-ui.theme.min.css	1590493703479	1590493703505	OK	 
REQUEST	32		jquery-ui.min.css	1590493703478	1590493703507	OK	 
REQUEST	37		jquery.min.js	1590493703501	1590493703512	OK	 
REQUEST	32		jquery-ui.theme.min.css	1590493703480	1590493703514	OK	 
REQUEST	37		jquery-ui.min.js	1590493703507	1590493703519	OK	 
REQUEST	32		jquery.min.js	1590493703508	1590493703523	OK	 
REQUEST	37		bootstrap.min.js	1590493703513	1590493703523	OK	 
REQUEST	37		pets.png	1590493703481	1590493703528	OK	 
REQUEST	32		pets.png	1590493703482	1590493703528	OK	 
REQUEST	32		jquery-ui.min.js	1590493703520	1590493703529	OK	 
REQUEST	37		petclinic.css	1590493703475	1590493703532	OK	 
REQUEST	32		bootstrap.min.js	1590493703523	1590493703532	OK	 
REQUEST	37		favicon.png	1590493703474	1590493703535	OK	 
REQUEST	32		favicon.png	1590493703474	1590493703534	OK	 
REQUEST	32		petclinic.css	1590493703475	1590493703535	OK	 
REQUEST	37		spring-pivotal-logo.png	1590493703482	1590493703537	OK	 
REQUEST	32		spring-pivotal-logo.png	1590493703484	1590493703536	OK	 
USER	EditPet	38	START	1590493703654	1590493703654
USER	AddPet	33	START	1590493703654	1590493703654
REQUEST	33		Home	1590493703655	1590493703664	OK	 
REQUEST	38		Home	1590493703655	1590493703668	OK	 
REQUEST	38		jquery-ui.theme.min.css	1590493703683	1590493703712	OK	 
REQUEST	38		jquery-ui.min.css	1590493703681	1590493703721	OK	 
REQUEST	33		jquery-ui.theme.min.css	1590493703684	1590493703720	OK	 
REQUEST	33		jquery-ui.min.css	1590493703682	1590493703723	OK	 
REQUEST	38		jquery.min.js	1590493703713	1590493703724	OK	 
REQUEST	38		bootstrap.min.js	1590493703724	1590493703732	OK	 
REQUEST	33		jquery.min.js	1590493703721	1590493703733	OK	 
REQUEST	33		jquery-ui.min.js	1590493703725	1590493703737	OK	 
REQUEST	33		bootstrap.min.js	1590493703733	1590493703740	OK	 
REQUEST	33		spring-pivotal-logo.png	1590493703688	1590493703741	OK	 
REQUEST	33		pets.png	1590493703686	1590493703744	OK	 
REQUEST	38		petclinic.css	1590493703679	1590493703748	OK	 
REQUEST	38		favicon.png	1590493703678	1590493703749	OK	 
REQUEST	38		spring-pivotal-logo.png	1590493703686	1590493703751	OK	 
REQUEST	33		favicon.png	1590493703678	1590493703754	OK	 
REQUEST	33		petclinic.css	1590493703679	1590493703757	OK	 
REQUEST	38		jquery-ui.min.js	1590493703721	1590493703761	OK	 
REQUEST	38		pets.png	1590493703684	1590493703762	OK	 
USER	EditPet	39	START	1590493703854	1590493703854
USER	AddPet	34	START	1590493703854	1590493703854
REQUEST	34		Home	1590493703854	1590493703857	OK	 
REQUEST	39		Home	1590493703854	1590493703857	OK	 
REQUEST	39		jquery-ui.theme.min.css	1590493703864	1590493703882	OK	 
REQUEST	39		jquery-ui.min.css	1590493703864	1590493703885	OK	 
REQUEST	34		jquery-ui.min.css	1590493703863	1590493703887	OK	 
REQUEST	34		jquery-ui.theme.min.css	1590493703864	1590493703889	OK	 
REQUEST	39		jquery.min.js	1590493703883	1590493703891	OK	 
REQUEST	34		jquery.min.js	1590493703887	1590493703897	OK	 
REQUEST	34		jquery-ui.min.js	1590493703890	1590493703900	OK	 
REQUEST	39		bootstrap.min.js	1590493703892	1590493703906	OK	 
REQUEST	34		bootstrap.min.js	1590493703898	1590493703906	OK	 
REQUEST	39		jquery-ui.min.js	1590493703886	1590493703907	OK	 
REQUEST	39		pets.png	1590493703865	1590493703909	OK	 
REQUEST	34		favicon.png	1590493703862	1590493703911	OK	 
REQUEST	34		pets.png	1590493703864	1590493703913	OK	 
REQUEST	39		spring-pivotal-logo.png	1590493703866	1590493703914	OK	 
REQUEST	34		petclinic.css	1590493703863	1590493703916	OK	 
REQUEST	39		favicon.png	1590493703863	1590493703917	OK	 
REQUEST	34		spring-pivotal-logo.png	1590493703865	1590493703919	OK	 
