ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History19AdminRooms	history19adminrooms	1590494893502	 	3.3.1
REQUEST	17		jquery-ui.theme.min.css	1590494895572	1590494895587	OK	 
REQUEST	17		jquery.min.js	1590494895583	1590494895590	OK	 
REQUEST	17		bootstrap.min.js	1590494895591	1590494895599	OK	 
REQUEST	5		Home	1590494895593	1590494895601	OK	 
REQUEST	17		jquery-ui.min.js	1590494895588	1590494895604	OK	 
USER	AccessRoom	5	START	1590494895592	1590494895592
REQUEST	17		favicon.png	1590494895569	1590494895605	OK	 
REQUEST	17		petclinic.css	1590494895570	1590494895606	OK	 
REQUEST	17		pets.png	1590494895573	1590494895608	OK	 
REQUEST	17		spring-pivotal-logo.png	1590494895574	1590494895609	OK	 
REQUEST	5		jquery-ui.min.css	1590494895610	1590494895621	OK	 
REQUEST	5		jquery-ui.theme.min.css	1590494895610	1590494895626	OK	 
REQUEST	5		jquery.min.js	1590494895622	1590494895632	OK	 
REQUEST	5		favicon.png	1590494895608	1590494895636	OK	 
REQUEST	5		jquery-ui.min.js	1590494895627	1590494895639	OK	 
REQUEST	5		bootstrap.min.js	1590494895632	1590494895640	OK	 
REQUEST	5		petclinic.css	1590494895609	1590494895642	OK	 
REQUEST	5		pets.png	1590494895611	1590494895645	OK	 
REQUEST	5		spring-pivotal-logo.png	1590494895612	1590494895646	OK	 
USER	Sitter	18	START	1590494895717	1590494895717
REQUEST	18		Home	1590494895718	1590494895726	OK	 
REQUEST	18		favicon.png	1590494895738	1590494895752	OK	 
USER	AccessRoom	6	START	1590494895752	1590494895752
REQUEST	6		Home	1590494895753	1590494895766	OK	 
REQUEST	18		jquery.min.js	1590494895753	1590494895769	OK	 
REQUEST	18		jquery-ui.min.js	1590494895773	1590494895783	OK	 
REQUEST	18		jquery-ui.min.css	1590494895741	1590494895788	OK	 
REQUEST	18		jquery-ui.theme.min.css	1590494895743	1590494895793	OK	 
REQUEST	6		jquery-ui.theme.min.css	1590494895777	1590494895795	OK	 
REQUEST	18		bootstrap.min.js	1590494895784	1590494895796	OK	 
REQUEST	6		jquery-ui.min.css	1590494895776	1590494895797	OK	 
REQUEST	6		spring-pivotal-logo.png	1590494895779	1590494895800	OK	 
REQUEST	18		spring-pivotal-logo.png	1590494895747	1590494895800	OK	 
REQUEST	6		jquery.min.js	1590494895796	1590494895803	OK	 
REQUEST	18		pets.png	1590494895745	1590494895806	OK	 
REQUEST	6		pets.png	1590494895778	1590494895807	OK	 
REQUEST	6		jquery-ui.min.js	1590494895798	1590494895808	OK	 
REQUEST	6		favicon.png	1590494895775	1590494895809	OK	 
REQUEST	6		petclinic.css	1590494895775	1590494895810	OK	 
REQUEST	18		petclinic.css	1590494895739	1590494895814	OK	 
REQUEST	6		bootstrap.min.js	1590494895801	1590494895817	OK	 
USER	Sitter	19	START	1590494895895	1590494895895
REQUEST	19		Home	1590494895897	1590494895905	OK	 
REQUEST	19		jquery-ui.min.css	1590494895924	1590494895946	OK	 
REQUEST	19		jquery-ui.theme.min.css	1590494895926	1590494895948	OK	 
USER	AccessRoom	7	START	1590494895949	1590494895949
REQUEST	7		Home	1590494895950	1590494895954	OK	 
REQUEST	19		jquery.min.js	1590494895947	1590494895959	OK	 
REQUEST	19		favicon.png	1590494895920	1590494895961	OK	 
REQUEST	19		petclinic.css	1590494895921	1590494895962	OK	 
REQUEST	19		pets.png	1590494895928	1590494895967	OK	 
REQUEST	19		spring-pivotal-logo.png	1590494895930	1590494895968	OK	 
REQUEST	19		jquery-ui.min.js	1590494895950	1590494895974	OK	 
REQUEST	19		bootstrap.min.js	1590494895960	1590494895979	OK	 
REQUEST	7		jquery-ui.min.css	1590494895966	1590494895981	OK	 
REQUEST	7		favicon.png	1590494895964	1590494895985	OK	 
REQUEST	7		jquery-ui.theme.min.css	1590494895967	1590494895988	OK	 
REQUEST	7		petclinic.css	1590494895965	1590494895990	OK	 
REQUEST	7		jquery.min.js	1590494895983	1590494895994	OK	 
REQUEST	7		jquery-ui.min.js	1590494895986	1590494896000	OK	 
REQUEST	7		spring-pivotal-logo.png	1590494895968	1590494896003	OK	 
REQUEST	7		bootstrap.min.js	1590494895989	1590494896007	OK	 
REQUEST	7		pets.png	1590494895968	1590494896010	OK	 
USER	Sitter	20	START	1590494896095	1590494896095
REQUEST	20		Home	1590494896097	1590494896107	OK	 
USER	AccessRoom	8	START	1590494896126	1590494896126
REQUEST	20		favicon.png	1590494896118	1590494896130	OK	 
REQUEST	8		Home	1590494896127	1590494896134	OK	 
REQUEST	8		jquery-ui.min.css	1590494896144	1590494896156	OK	 
REQUEST	8		jquery-ui.theme.min.css	1590494896146	1590494896159	OK	 
REQUEST	20		jquery.min.js	1590494896131	1590494896162	OK	 
REQUEST	20		jquery-ui.min.css	1590494896121	1590494896166	OK	 
REQUEST	8		jquery.min.js	1590494896157	1590494896168	OK	 
REQUEST	20		jquery-ui.theme.min.css	1590494896123	1590494896169	OK	 
REQUEST	8		jquery-ui.min.js	1590494896160	1590494896178	OK	 
REQUEST	20		jquery-ui.min.js	1590494896163	1590494896178	OK	 
REQUEST	20		bootstrap.min.js	1590494896168	1590494896181	OK	 
REQUEST	8		bootstrap.min.js	1590494896168	1590494896182	OK	 
REQUEST	8		pets.png	1590494896147	1590494896184	OK	 
REQUEST	20		pets.png	1590494896125	1590494896186	OK	 
REQUEST	8		favicon.png	1590494896142	1590494896187	OK	 
REQUEST	20		petclinic.css	1590494896119	1590494896189	OK	 
REQUEST	8		spring-pivotal-logo.png	1590494896148	1590494896192	OK	 
REQUEST	20		spring-pivotal-logo.png	1590494896126	1590494896194	OK	 
REQUEST	8		petclinic.css	1590494896143	1590494896196	OK	 
USER	Sitter	21	START	1590494896297	1590494896297
REQUEST	21		Home	1590494896299	1590494896308	OK	 
USER	AccessRoom	9	START	1590494896317	1590494896317
REQUEST	9		Home	1590494896320	1590494896334	OK	 
REQUEST	21		jquery-ui.theme.min.css	1590494896324	1590494896341	OK	 
REQUEST	21		jquery-ui.min.css	1590494896323	1590494896356	OK	 
REQUEST	21		jquery.min.js	1590494896342	1590494896359	OK	 
REQUEST	9		jquery-ui.min.css	1590494896347	1590494896363	OK	 
REQUEST	9		jquery-ui.theme.min.css	1590494896348	1590494896368	OK	 
REQUEST	9		jquery.min.js	1590494896364	1590494896372	OK	 
REQUEST	21		bootstrap.min.js	1590494896359	1590494896375	OK	 
REQUEST	21		jquery-ui.min.js	1590494896357	1590494896378	OK	 
REQUEST	9		bootstrap.min.js	1590494896373	1590494896380	OK	 
REQUEST	9		jquery-ui.min.js	1590494896369	1590494896382	OK	 
REQUEST	9		pets.png	1590494896349	1590494896385	OK	 
REQUEST	9		spring-pivotal-logo.png	1590494896350	1590494896386	OK	 
REQUEST	21		favicon.png	1590494896320	1590494896386	OK	 
REQUEST	21		spring-pivotal-logo.png	1590494896328	1590494896388	OK	 
REQUEST	21		petclinic.css	1590494896321	1590494896391	OK	 
REQUEST	21		pets.png	1590494896326	1590494896393	OK	 
REQUEST	9		favicon.png	1590494896345	1590494896394	OK	 
REQUEST	9		petclinic.css	1590494896346	1590494896397	OK	 
USER	Sitter	22	START	1590494896497	1590494896497
REQUEST	22		Home	1590494896498	1590494896506	OK	 
USER	AccessRoom	10	START	1590494896517	1590494896517
REQUEST	10		Home	1590494896518	1590494896529	OK	 
REQUEST	22		jquery-ui.min.css	1590494896521	1590494896546	OK	 
REQUEST	22		jquery-ui.theme.min.css	1590494896523	1590494896560	OK	 
REQUEST	10		favicon.png	1590494896540	1590494896561	OK	 
REQUEST	22		favicon.png	1590494896517	1590494896563	OK	 
REQUEST	10		jquery-ui.theme.min.css	1590494896543	1590494896564	OK	 
REQUEST	10		jquery-ui.min.css	1590494896541	1590494896566	OK	 
REQUEST	22		jquery-ui.min.js	1590494896562	1590494896574	OK	 
REQUEST	10		jquery.min.js	1590494896562	1590494896577	OK	 
REQUEST	22		bootstrap.min.js	1590494896563	1590494896578	OK	 
REQUEST	10		jquery-ui.min.js	1590494896566	1590494896580	OK	 
REQUEST	10		bootstrap.min.js	1590494896568	1590494896580	OK	 
REQUEST	22		jquery.min.js	1590494896549	1590494896583	OK	 
REQUEST	22		petclinic.css	1590494896518	1590494896584	OK	 
REQUEST	10		pets.png	1590494896544	1590494896668	OK	 
REQUEST	10		petclinic.css	1590494896540	1590494896668	OK	 
REQUEST	10		spring-pivotal-logo.png	1590494896545	1590494896670	OK	 
REQUEST	22		pets.png	1590494896525	1590494896667	OK	 
REQUEST	22		spring-pivotal-logo.png	1590494896527	1590494896671	OK	 
USER	Sitter	23	START	1590494896697	1590494896697
REQUEST	23		Home	1590494896697	1590494896700	OK	 
REQUEST	23		favicon.png	1590494896703	1590494896708	OK	 
REQUEST	23		jquery.min.js	1590494896708	1590494896714	OK	 
REQUEST	23		jquery-ui.min.css	1590494896704	1590494896717	OK	 
REQUEST	23		jquery-ui.theme.min.css	1590494896705	1590494896719	OK	 
REQUEST	23		bootstrap.min.js	1590494896718	1590494896724	OK	 
USER	AccessRoom	11	START	1590494896726	1590494896726
REQUEST	23		jquery-ui.min.js	1590494896715	1590494896730	OK	 
REQUEST	11		Home	1590494896727	1590494896732	OK	 
REQUEST	23		petclinic.css	1590494896703	1590494896736	OK	 
REQUEST	11		jquery-ui.theme.min.css	1590494896740	1590494896759	OK	 
REQUEST	11		jquery-ui.min.css	1590494896739	1590494896761	OK	 
REQUEST	11		favicon.png	1590494896737	1590494896763	OK	 
REQUEST	11		jquery.min.js	1590494896760	1590494896767	OK	 
REQUEST	11		spring-pivotal-logo.png	1590494896741	1590494896770	OK	 
REQUEST	11		bootstrap.min.js	1590494896763	1590494896771	OK	 
REQUEST	23		spring-pivotal-logo.png	1590494896706	1590494896772	OK	 
REQUEST	11		jquery-ui.min.js	1590494896762	1590494896772	OK	 
REQUEST	23		pets.png	1590494896705	1590494896774	OK	 
REQUEST	11		petclinic.css	1590494896738	1590494896775	OK	 
REQUEST	11		pets.png	1590494896741	1590494896777	OK	 
USER	Sitter	24	START	1590494896897	1590494896897
REQUEST	24		Home	1590494896898	1590494896907	OK	 
USER	AccessRoom	12	START	1590494896917	1590494896917
REQUEST	12		Home	1590494896918	1590494896930	OK	 
REQUEST	24		jquery-ui.theme.min.css	1590494896922	1590494896956	OK	 
REQUEST	12		jquery-ui.min.css	1590494896940	1590494896967	OK	 
REQUEST	24		jquery-ui.min.css	1590494896920	1590494896968	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590494896941	1590494896974	OK	 
REQUEST	24		jquery.min.js	1590494896957	1590494896976	OK	 
REQUEST	12		jquery.min.js	1590494896968	1590494896982	OK	 
REQUEST	12		jquery-ui.min.js	1590494896975	1590494896991	OK	 
REQUEST	24		jquery-ui.min.js	1590494896969	1590494896992	OK	 
REQUEST	24		bootstrap.min.js	1590494896977	1590494896993	OK	 
REQUEST	12		bootstrap.min.js	1590494896983	1590494896998	OK	 
REQUEST	24		favicon.png	1590494896917	1590494897002	OK	 
REQUEST	24		pets.png	1590494896925	1590494897004	OK	 
REQUEST	12		spring-pivotal-logo.png	1590494896943	1590494897006	OK	 
REQUEST	24		spring-pivotal-logo.png	1590494896927	1590494897006	OK	 
REQUEST	12		favicon.png	1590494896938	1590494897007	OK	 
REQUEST	24		petclinic.css	1590494896918	1590494897011	OK	 
REQUEST	12		pets.png	1590494896942	1590494897014	OK	 
REQUEST	12		petclinic.css	1590494896938	1590494897017	OK	 
USER	AccessRoom	25	START	1590494897060	1590494897060
USER	Sitter	31	START	1590494897060	1590494897060
REQUEST	31		Home	1590494897060	1590494897063	OK	 
REQUEST	25		Home	1590494897060	1590494897063	OK	 
REQUEST	25		jquery-ui.min.css	1590494897067	1590494897081	OK	 
REQUEST	25		jquery-ui.theme.min.css	1590494897068	1590494897083	OK	 
REQUEST	31		jquery-ui.theme.min.css	1590494897068	1590494897083	OK	 
REQUEST	31		jquery-ui.min.css	1590494897068	1590494897085	OK	 
REQUEST	31		jquery.min.js	1590494897084	1590494897091	OK	 
REQUEST	25		jquery.min.js	1590494897082	1590494897093	OK	 
REQUEST	31		jquery-ui.min.js	1590494897086	1590494897102	OK	 
REQUEST	25		jquery-ui.min.js	1590494897084	1590494897105	OK	 
REQUEST	31		spring-pivotal-logo.png	1590494897069	1590494897108	OK	 
REQUEST	31		bootstrap.min.js	1590494897091	1590494897108	OK	 
REQUEST	25		spring-pivotal-logo.png	1590494897069	1590494897109	OK	 
REQUEST	25		bootstrap.min.js	1590494897094	1590494897110	OK	 
REQUEST	25		favicon.png	1590494897066	1590494897110	OK	 
REQUEST	31		favicon.png	1590494897067	1590494897110	OK	 
REQUEST	31		pets.png	1590494897069	1590494897113	OK	 
REQUEST	25		pets.png	1590494897069	1590494897114	OK	 
REQUEST	25		petclinic.css	1590494897067	1590494897117	OK	 
REQUEST	31		petclinic.css	1590494897067	1590494897119	OK	 
USER	Sitter	32	START	1590494897217	1590494897217
REQUEST	32		Home	1590494897218	1590494897227	OK	 
USER	AccessRoom	26	START	1590494897228	1590494897228
REQUEST	26		Home	1590494897230	1590494897243	OK	 
REQUEST	26		jquery-ui.min.css	1590494897263	1590494897290	OK	 
REQUEST	26		jquery-ui.theme.min.css	1590494897264	1590494897296	OK	 
REQUEST	32		jquery-ui.min.css	1590494897241	1590494897299	OK	 
REQUEST	26		jquery.min.js	1590494897291	1590494897302	OK	 
REQUEST	32		favicon.png	1590494897237	1590494897304	OK	 
REQUEST	26		favicon.png	1590494897261	1590494897304	OK	 
REQUEST	26		bootstrap.min.js	1590494897302	1590494897309	OK	 
REQUEST	26		jquery-ui.min.js	1590494897297	1590494897310	OK	 
REQUEST	32		jquery.min.js	1590494897300	1590494897311	OK	 
REQUEST	32		jquery-ui.min.js	1590494897305	1590494897315	OK	 
REQUEST	32		bootstrap.min.js	1590494897312	1590494897319	OK	 
REQUEST	32		petclinic.css	1590494897238	1590494897321	OK	 
REQUEST	26		petclinic.css	1590494897262	1590494897320	OK	 
REQUEST	26		spring-pivotal-logo.png	1590494897266	1590494897323	OK	 
REQUEST	26		pets.png	1590494897265	1590494897324	OK	 
REQUEST	32		jquery-ui.theme.min.css	1590494897243	1590494897324	OK	 
REQUEST	32		spring-pivotal-logo.png	1590494897252	1590494897325	OK	 
REQUEST	32		pets.png	1590494897249	1590494897326	OK	 
USER	Sitter	33	START	1590494897387	1590494897387
USER	AccessRoom	27	START	1590494897387	1590494897387
REQUEST	27		Home	1590494897388	1590494897395	OK	 
REQUEST	33		Home	1590494897388	1590494897404	OK	 
REQUEST	27		jquery-ui.min.css	1590494897406	1590494897427	OK	 
REQUEST	27		jquery.min.js	1590494897428	1590494897434	OK	 
REQUEST	27		jquery-ui.theme.min.css	1590494897407	1590494897436	OK	 
REQUEST	33		jquery-ui.min.css	1590494897416	1590494897439	OK	 
REQUEST	33		jquery-ui.theme.min.css	1590494897417	1590494897440	OK	 
REQUEST	27		bootstrap.min.js	1590494897437	1590494897444	OK	 
REQUEST	27		jquery-ui.min.js	1590494897435	1590494897447	OK	 
REQUEST	33		jquery.min.js	1590494897440	1590494897450	OK	 
REQUEST	33		jquery-ui.min.js	1590494897441	1590494897452	OK	 
REQUEST	27		petclinic.css	1590494897403	1590494897454	OK	 
REQUEST	27		spring-pivotal-logo.png	1590494897409	1590494897457	OK	 
REQUEST	33		petclinic.css	1590494897415	1590494897458	OK	 
REQUEST	27		favicon.png	1590494897403	1590494897459	OK	 
REQUEST	33		bootstrap.min.js	1590494897451	1590494897459	OK	 
REQUEST	33		spring-pivotal-logo.png	1590494897418	1590494897460	OK	 
REQUEST	33		favicon.png	1590494897415	1590494897461	OK	 
REQUEST	27		pets.png	1590494897408	1590494897462	OK	 
REQUEST	33		pets.png	1590494897418	1590494897463	OK	 
USER	Sitter	34	START	1590494897561	1590494897561
USER	AccessRoom	28	START	1590494897560	1590494897560
REQUEST	34		Home	1590494897562	1590494897570	OK	 
REQUEST	28		Home	1590494897562	1590494897570	OK	 
REQUEST	28		spring-pivotal-logo.png	1590494897584	1590494897607	OK	 
REQUEST	34		jquery-ui.theme.min.css	1590494897583	1590494897607	OK	 
REQUEST	28		favicon.png	1590494897579	1590494897611	OK	 
REQUEST	34		favicon.png	1590494897579	1590494897611	OK	 
REQUEST	28		jquery.min.js	1590494897607	1590494897617	OK	 
REQUEST	34		jquery.min.js	1590494897608	1590494897619	OK	 
REQUEST	34		jquery-ui.min.js	1590494897611	1590494897622	OK	 
REQUEST	28		jquery-ui.min.js	1590494897611	1590494897625	OK	 
REQUEST	28		bootstrap.min.js	1590494897617	1590494897627	OK	 
REQUEST	34		bootstrap.min.js	1590494897619	1590494897628	OK	 
REQUEST	28		jquery-ui.theme.min.css	1590494897583	1590494897629	OK	 
REQUEST	34		pets.png	1590494897583	1590494897632	OK	 
REQUEST	34		spring-pivotal-logo.png	1590494897584	1590494897633	OK	 
REQUEST	34		petclinic.css	1590494897580	1590494897635	OK	 
REQUEST	28		pets.png	1590494897583	1590494897635	OK	 
REQUEST	34		jquery-ui.min.css	1590494897582	1590494897637	OK	 
REQUEST	28		petclinic.css	1590494897580	1590494897640	OK	 
REQUEST	28		jquery-ui.min.css	1590494897582	1590494897641	OK	 
USER	Sitter	35	START	1590494897717	1590494897717
REQUEST	35		Home	1590494897718	1590494897725	OK	 
USER	AccessRoom	29	START	1590494897730	1590494897730
REQUEST	29		Home	1590494897731	1590494897747	OK	 
REQUEST	35		jquery-ui.theme.min.css	1590494897735	1590494897753	OK	 
REQUEST	35		jquery-ui.min.css	1590494897734	1590494897755	OK	 
REQUEST	35		jquery.min.js	1590494897754	1590494897767	OK	 
REQUEST	35		jquery-ui.min.js	1590494897756	1590494897776	OK	 
REQUEST	29		jquery-ui.theme.min.css	1590494897758	1590494897778	OK	 
REQUEST	29		jquery-ui.min.css	1590494897757	1590494897783	OK	 
REQUEST	29		jquery.min.js	1590494897779	1590494897784	OK	 
REQUEST	29		spring-pivotal-logo.png	1590494897759	1590494897787	OK	 
REQUEST	35		bootstrap.min.js	1590494897768	1590494897789	OK	 
REQUEST	29		jquery-ui.min.js	1590494897784	1590494897791	OK	 
REQUEST	29		pets.png	1590494897759	1590494897791	OK	 
REQUEST	29		bootstrap.min.js	1590494897785	1590494897792	OK	 
REQUEST	29		favicon.png	1590494897756	1590494897793	OK	 
REQUEST	35		favicon.png	1590494897732	1590494897794	OK	 
REQUEST	35		pets.png	1590494897736	1590494897794	OK	 
REQUEST	35		petclinic.css	1590494897733	1590494897799	OK	 
REQUEST	35		spring-pivotal-logo.png	1590494897737	1590494897801	OK	 
REQUEST	29		petclinic.css	1590494897757	1590494897802	OK	 
USER	Sitter	36	START	1590494897887	1590494897887
USER	AccessRoom	30	START	1590494897887	1590494897887
REQUEST	36		Home	1590494897888	1590494897898	OK	 
REQUEST	30		Home	1590494897888	1590494897898	OK	 
REQUEST	36		jquery-ui.theme.min.css	1590494897914	1590494897935	OK	 
REQUEST	30		jquery-ui.min.css	1590494897912	1590494897942	OK	 
REQUEST	30		jquery-ui.theme.min.css	1590494897914	1590494897947	OK	 
REQUEST	36		jquery-ui.min.css	1590494897912	1590494897949	OK	 
REQUEST	36		jquery.min.js	1590494897936	1590494897952	OK	 
REQUEST	30		jquery.min.js	1590494897943	1590494897953	OK	 
REQUEST	30		jquery-ui.min.js	1590494897948	1590494897956	OK	 
REQUEST	36		bootstrap.min.js	1590494897953	1590494897960	OK	 
REQUEST	30		bootstrap.min.js	1590494897954	1590494897962	OK	 
REQUEST	36		jquery-ui.min.js	1590494897949	1590494897964	OK	 
REQUEST	36		spring-pivotal-logo.png	1590494897916	1590494897965	OK	 
REQUEST	30		spring-pivotal-logo.png	1590494897916	1590494897965	OK	 
REQUEST	30		favicon.png	1590494897909	1590494897966	OK	 
REQUEST	36		favicon.png	1590494897909	1590494897966	OK	 
REQUEST	36		pets.png	1590494897915	1590494897968	OK	 
REQUEST	36		petclinic.css	1590494897910	1590494897970	OK	 
REQUEST	30		pets.png	1590494897915	1590494897972	OK	 
REQUEST	30		petclinic.css	1590494897910	1590494897974	OK	 
USER	Sitter	42	START	1590494898099	1590494898099
REQUEST	42		Home	1590494898102	1590494898111	OK	 
USER	AccessRoom	37	START	1590494898115	1590494898115
REQUEST	37		Home	1590494898117	1590494898131	OK	 
REQUEST	42		jquery-ui.theme.min.css	1590494898130	1590494898164	OK	 
REQUEST	42		jquery-ui.min.css	1590494898128	1590494898165	OK	 
REQUEST	37		jquery-ui.min.css	1590494898139	1590494898167	OK	 
REQUEST	37		jquery-ui.theme.min.css	1590494898140	1590494898169	OK	 
REQUEST	42		jquery.min.js	1590494898165	1590494898174	OK	 
REQUEST	42		jquery-ui.min.js	1590494898166	1590494898177	OK	 
REQUEST	37		jquery.min.js	1590494898168	1590494898180	OK	 
REQUEST	37		jquery-ui.min.js	1590494898169	1590494898184	OK	 
REQUEST	37		bootstrap.min.js	1590494898180	1590494898185	OK	 
REQUEST	42		bootstrap.min.js	1590494898174	1590494898186	OK	 
REQUEST	42		favicon.png	1590494898125	1590494898187	OK	 
REQUEST	37		favicon.png	1590494898137	1590494898187	OK	 
REQUEST	42		pets.png	1590494898132	1590494898188	OK	 
REQUEST	42		spring-pivotal-logo.png	1590494898133	1590494898189	OK	 
REQUEST	42		petclinic.css	1590494898126	1590494898190	OK	 
REQUEST	37		pets.png	1590494898141	1590494898190	OK	 
